stamp,candidates,valid_matches,immature_matches,match_ratio,r_abs_p50,r_abs_p75,r_abs_p90,r_abs_p95,r_abs_max,r_signed_median,grad_p50,grad_p75,grad_p90,grad_p95,J_norm_p50,J_norm_p90,J_norm_p99,J_norm_max,Jdof_p90_rx,Jdof_p90_ry,Jdof_p90_rz,Jdof_p90_tx,Jdof_p90_ty,Jdof_p90_tz,H_geo_fro,H_photo_fro,H_photo_trace,b_geo_norm,b_photo_norm,R_H_unscaled,R_b_unscaled,R_H_scaled,lambda_ref,eig1,eig2,eig3,eig4,eig5,eig6,photo_step_t_mm,photo_step_r_deg,lm_iterations,lm_accepted,lm_rejected,reject_rate,lm_initial_cost,lm_final_cost,geo_cost,photo_cost,pose_delta_t_m,pose_delta_r_deg,photo_effective_residuals,fd_samples,fd_median_rel_err,fd_p95_rel_err,fd_done,photometric_scale,fd_level_a_samples,fd_level_a_median,fd_level_a_p95,fd_level_a_sign,fd_level_b_points,fd_level_b_scalars,fd_level_b_median,fd_level_b_p95,fd_level_b_sign,fd_b_rx_med,fd_b_rx_p95,fd_b_ry_med,fd_b_ry_p95,fd_b_rz_med,fd_b_rz_p95,fd_b_tx_med,fd_b_tx_p95,fd_b_ty_med,fd_b_ty_p95,fd_b_tz_med,fd_b_tz_p95,fd_b_analytic_p50,fd_b_analytic_p90,fd_b_analytic_p99,fd_b_numeric_p50,fd_b_numeric_p90,fd_b_numeric_p99,fd_c_voxel_switch,fd_c_cell_switch,fd_c_validity_switch,fd_c_noswitch_samples,fd_c_noswitch_median,fd_c_noswitch_p95,photo_near_fraction,photo_near_r_p50,photo_near_r_p90,photo_far_r_p50,photo_far_r_p90,geo_lambda1,geo_lambda2,geo_lambda3,geo_two_weak_flag,eta_world_x,eta_world_y,eta_world_z,eta_abs_dot_prev,eta_angle_prev_deg,weak_subspace_diff_F,selected_voxel_jaccard,selected_voxel_retention,selected_score_p10,selected_score_p50,selected_score_p90,selected_score_max,candidate_score_p50,candidate_score_p90,candidate_score_p99,q_geo_v1,q_geo_v2,q_photo_v1,q_photo_v2,s_geo_v1,s_geo_v2,s_photo_v1,s_photo_v2,parity_count_serial,parity_count_parallel,parity_cost_rel,parity_H_rel,parity_b_rel,source_near_fraction,photo_near_r_p95,photo_far_r_p95,photo_near_inlier_fraction,photo_far_inlier_fraction,photo_near_grad_p50,photo_near_grad_p90,photo_far_grad_p50,photo_far_grad_p90,photo_near_J_p50,photo_near_J_p90,photo_far_J_p50,photo_far_J_p90,photo_near_H_fraction
1691509832356948442,2999,1528,1443,0.509503,6.28353,11.3506,20.4016,32.5003,198.728,-0.534162,193.924,342.335,630.936,928.634,397.516,1546.97,4871.52,17230.7,770.249,687.679,827.511,377.116,388.479,191.957,43732.9,1268.48,2168.99,0.459797,2.47226,0,0,0.0290052,0,39.8488,57.9818,79.2016,357.592,557.981,1076.39,0,0,4,3,9,0.75,1,1.43469,1.43469,0.277895,0.00112581,0.12841,1528,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.150524,4.7384,11.6956,6.60438,22.0176,82.645,531.321,633.034,1,0.822734,0.568332,-0.010361,1,0,0,0,0,366.17,466.597,1003.58,2200.59,26.6888,303.784,937.158,509.811,1661.68,143.743,154.426,0.0432725,-0.0841873,-1.22937,-0.617181,0,0,0,0,0,0.0766922,14.9608,38.7307,1,0.991525,145.384,320.731,211.385,654.182,208.453,488.098,470.475,1723.49,0.0116744
1691509832456941785,3051,1726,1259,0.565716,6.68473,12.5009,22.6457,38.2504,214.967,-0.502243,200.089,357.823,663.848,957.202,433.257,1599.41,4705.25,12483.5,784.179,722.83,906.94,383.13,390.976,176.189,47786.1,1382.12,2427.31,14.6612,1.81701,0,0,0.0289231,0,49.0123,68.2223,94.6536,383.986,729,1102.43,0,0,1,1,8,0.888889,1,1.2549,1.2549,0.382938,1.17277e-06,0.000341653,1726,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125145,5.47142,13.5329,6.84184,24.4031,81.7908,556.159,648.05,1,0.823429,0.567417,-0.0014102,0.999959,0.517052,0.0127274,0.801802,0.89,376.688,500.768,1054.26,2423.05,29.1513,310.794,990.471,522.169,1703.93,131.567,170.047,-1.80676,0.934533,0.253797,-0.902865,0,0,0,0,0,0.0707965,18.5067,42.243,1,0.988742,138.101,283.299,214.63,705.843,198.24,400.702,506.106,1739.47,0.00887389
1691509832556922176,3018,1676,1284,0.555335,6.8732,13.7836,24.9528,41.8208,196.57,-0.33749,231.657,416.267,755.272,1165.09,579.637,2084.03,5620.36,12197.8,999.103,889.196,1218.88,435.299,465.823,203.574,45649.8,2017.37,3408.47,0.581511,1.04716,0,0,0.0441923,0,58.8375,73.6757,108.312,534.171,931.879,1701.59,0,0,4,3,11,0.785714,1,1.3084,1.3084,0.39128,0.00440639,0.0923972,1676,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0375895,5.95617,15.9421,6.94447,25.6402,84.0644,583.963,650.972,1,0.825617,0.562905,0.0386583,0.999185,2.31382,0.0838372,0.801802,0.89,410.79,549.258,1204.78,2443.36,34.3169,326.065,1102.29,513.449,1651.96,172.185,210.298,-0.471482,-0.106221,-0.154929,-0.298795,0,0,0,0,0,0.0208748,21.1533,42.7949,1,0.986981,183.763,608.513,234.15,783.507,258.424,962.969,594.808,2134.41,0.00538481
1691509832657014955,2932,1740,1146,0.593452,7.3811,14.0717,26.0135,36.6634,156.788,-0.0348859,241.272,436.76,810.601,1160.56,610.728,2247.42,5194.97,11674.8,977.117,951.856,1318.17,486.406,463.818,212.161,48450.5,2139.78,3563.09,0.543911,2.01467,0,0,0.0441641,0,47.7103,58.1896,86.5154,512.096,1099.51,1759.07,0,0,3,3,8,0.727273,1,1.66332,1.66332,0.327474,0.00453586,0.0512442,1740,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0344828,6.70764,16.2771,7.39505,26.512,85.3436,594.349,666.307,1,0.827011,0.561123,0.0345506,0.999989,0.268709,0.0139818,0.801802,0.89,429.708,567.771,1246.65,2355.13,40.4393,344.702,1077.56,510.279,1653.34,179.656,201.843,0.0249258,0.129004,-0.641819,0.214645,0,0,0,0,0,0.0204638,20.5298,37.6879,1,0.992857,162.305,586.041,244.538,826.099,210.902,947.526,622.867,2303.86,0.00480458
1691509832757141503,2854,1681,1146,0.588998,6.54664,13.313,23.6475,38.9416,184.307,0.241606,255.856,459.236,832.666,1158.39,660.691,2359.46,5114.58,7810.46,1121.24,1000.63,1335.6,464.315,508.978,246.837,50939.8,2201.83,3622.06,1.41032,2.02572,0,0,0.0432242,0,37.2377,53.7849,100.407,504.367,1077.24,1849.02,0,0,2,2,8,0.8,1,1.65422,1.65422,0.320734,0.00665182,0.0419715,1681,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0404521,4.30811,11.8009,6.69251,24.4707,85.8294,620.184,670.987,1,0.829954,0.553665,0.0680516,0.999407,1.97377,0.0793001,0.785714,0.88,490.327,646.169,1264.51,2421.91,48.3284,362.181,1153.5,488.28,1708.67,162.408,206.493,0.118675,-0.281189,0.912823,0.369835,0,0,0,0,0,0.0238262,14.444,39.6614,1,0.99504,165.518,517.837,262.541,844.417,227.035,823.352,681.735,2495.5,0.00425569
1691509832857243565,2903,1633,1207,0.562522,7.7768,15.2794,27.933,45.1787,180.1,-0.508689,283.347,498.795,886.624,1256.37,724.206,2515.66,6364.21,19454,1175.69,1172.17,1409.09,530.27,537.462,293.202,38542.2,2809.99,4607.07,0.975591,2.91501,0,0,0.0729068,0,39.9916,64.0603,133.733,626.853,1383.04,2359.39,0,0,4,4,8,0.666667,1,1.76354,1.76354,0.403202,0.00329094,0.045658,1633,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0440906,4.52081,15.9605,8.00383,28.3469,84.1526,622.845,654.002,1,-0.832201,-0.529203,-0.165486,0.994952,5.75969,0.199932,0.818182,0.9,555.309,692.769,1318.07,2346.32,58.4796,401.38,1175.32,485.941,1626.26,207.534,234.542,-0.0258297,0.0765521,-1.3653,-0.0254521,0,0,0,0,0,0.0248019,17.7006,45.4396,1,0.988469,154.74,694.604,290.382,923.826,212.631,1133.24,749.893,2580.65,0.00443583
1691509832957094154,2908,1619,1262,0.55674,8.25387,16.3556,31.4651,47.3759,181.993,-0.66277,290.926,517.748,934.35,1305.31,746.852,2697.28,7130.35,20412,1288.3,1257.57,1524.51,561.061,586.67,314.782,41472.4,3506.16,5936.23,27.4472,4.57993,0,0,0.0845422,0,45.2146,82.8254,178.544,1061.12,1696.59,2871.93,0,0,1,0,9,1,1,1.96832,1.96832,0.404006,0,0,1619,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0240889,6.25865,16.8053,8.29664,31.5872,83.4111,628.812,649.777,1,0.830337,0.499129,0.247813,0.996157,5.02461,0.175811,0.818182,0.9,575.544,757.824,1458.2,2329.68,73.3635,440.918,1309.94,504.667,1570.02,247.973,262.382,5.1052,0.977211,1.18302,0.147912,0,0,0,0,0,0.0134113,22.6001,49.0588,1,0.991772,188.34,760.095,293.429,942.804,290.061,1221.99,762.039,2777.52,0.00258534
1691509833057097669,2877,1579,1272,0.548836,8.00137,16.2849,31.0705,45.9806,175.446,-0.64484,306.561,546.677,969.598,1269.35,824.081,2849.16,6978.1,13042.5,1284.34,1286.21,1661.23,560.492,616.254,292.55,45621.1,3336.8,5507.09,1.64918,4.64216,0,0,0.0731416,0,51.967,73.1413,211.458,806.131,1508.53,2855.86,0,0,2,2,8,0.8,1,1.55263,1.55263,0.389334,0.00587769,0.07025,1579,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0253325,5.37694,12.5495,8.11577,32.1334,90.4717,629.261,661.267,1,-0.837215,-0.5253,-0.15209,0.995052,5.7018,0.201903,0.724138,0.84,598.999,779.241,1459.75,2335.07,78.2084,454.609,1229.75,514.598,1612.14,266.179,270.167,0.299403,-0.147596,-0.204381,-0.852484,0,0,0,0,0,0.0139034,13.3159,46.4021,1,0.992853,210.35,806.859,308.061,977.523,342.967,1287.07,838.397,2870.1,0.0035447
1691509833157069399,2873,1603,1258,0.557953,8.56344,17.1663,31.5586,44.988,140.409,-0.108271,297.963,549.322,941.607,1237.43,787.748,2896.72,6377.99,12576.1,1343.4,1262.11,1711.87,536.38,639.604,223.195,49390.1,3489.29,5389.45,3.41641,5.55829,0,0,0.0706476,0,38.1695,55.2464,115.764,611.167,1464.39,3104.72,0,0,2,1,9,0.9,1,1.74376,1.74376,0.329466,0.0061898,0.0225709,1603,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0467873,6.34886,14.6311,8.76092,32.501,88.8053,630.011,670.184,1,0.832088,0.551348,0.0603625,0.995441,5.47338,0.188135,0.785714,0.88,629.307,859.653,1473.25,2187.15,85.54,457.762,1351.67,561.415,1627.24,206.431,265.692,-0.23806,-0.188434,-0.080669,0.312728,0,0,0,0,0,0.0261051,17.65,45.3548,1,0.998037,170.081,693.832,303.763,956.962,218.477,1065,823.13,2984.25,0.0043725
1691509833256792964,2803,1602,1191,0.571531,8.92987,17.3868,29.8835,43.1148,179.337,-0.298569,307.847,584.843,989.103,1320.85,848.983,3024.96,6568.61,12520.6,1380.26,1265.9,1870.05,582.606,689.686,210.99,50052.7,3830.34,5818,4.72416,4.12768,0,0,0.0765263,0,38.9244,56.4308,114.636,626.634,1527.89,3453.49,0,0,1,1,8,0.888889,1,1.53148,1.53148,0.357945,9.3574e-07,9.40664e-05,1602,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0349563,7.16675,15.4738,9.13082,30.1283,88.203,636.038,680.759,1,0.835483,0.547414,0.0480314,0.99991,0.766701,0.0213969,0.886792,0.94,634.415,885.619,1523.66,2139.27,90.5428,493.571,1424.78,536.88,1664.62,230.39,306.715,-2.25761,-0.344651,0.522888,0.859608,0,0,0,0,0,0.0199786,19.4953,44.0275,1,0.994179,184.284,704.627,314.889,1008.83,269.632,1145.36,874.554,3114.38,0.00349162
1691509833356703314,2745,1590,1137,0.579235,9.2046,17.418,31.6335,46.1908,225.873,0.452059,322.835,625.906,1020.86,1316.17,911.787,3152.24,6977.05,12567.6,1439.22,1382.95,2041.36,600.286,691.882,231.262,53383.9,4070.41,6352.63,1.5631,3.62979,0,0,0.076248,0,32.7386,74.1602,136.829,889.156,1578.02,3641.73,0,0,2,2,8,0.8,1,1.11549,1.11549,0.400334,0.00468709,0.0280632,1590,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.036478,5.69849,14.5903,9.31312,32.3432,88.6235,647.411,685.965,1,0.838586,0.544342,0.0215788,0.999641,1.53618,0.0518568,0.818182,0.9,662.104,899.751,1560.06,2130.24,91.7219,511.033,1521.77,536.997,1708.28,236.981,307.57,-0.01954,-0.025152,0.25267,0.932608,0,0,0,0,0,0.0211293,20.3772,46.4931,1,0.994125,177.08,706.872,330.661,1039.11,258.335,1060.65,952.495,3169.69,0.00313166
1691509833456853839,2757,1670,1072,0.605731,9.06368,18.2877,30.3288,42.91,170.582,0.135189,350.063,643.313,1081.17,1373.57,959.423,3346.02,7853.26,13333.8,1527.01,1394.63,2128.41,629.6,732.933,228.82,52590.5,4842.18,7574.33,0.145987,3.78699,0,0,0.0920733,0,30.6191,86.7563,164.758,1089.65,1878.99,4323.56,0,0,5,4,11,0.733333,1,1.10267,1.10267,0.380352,0.00262239,0.035474,1670,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0347305,7.58659,15.3838,9.20625,31.4184,88.5427,647.915,684.542,1,0.837609,0.545566,0.0277294,0.99998,0.363653,0.0127204,0.904762,0.95,674.557,926.173,1590.6,2017.19,95.8363,509.64,1502.13,541.937,1678.48,285.712,355.441,-0.0366913,0.00185202,1.35055,0.625391,0,0,0,0,0,0.0210374,19.2219,43.1893,1,0.994417,175.511,718.807,353.954,1086.66,257.923,1141.18,991.308,3392.4,0.00220883
1691509833557372641,2743,1552,1185,0.565804,8.79792,17.1956,29.4131,41.1484,162.758,1.04941,337.72,617.524,1025.76,1410.51,945.874,3230.88,7643.98,13231.9,1487.75,1311.01,2141.5,615.227,670.637,248.076,55583.3,4269.69,6792.71,2.38924,6.5791,0,0,0.0768161,0,35.1144,90.1005,150.562,1060.87,1681.97,3774.09,0,0,2,2,8,0.8,1,1.08663,1.08663,0.333866,0.00517034,0.0185445,1552,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0399485,6.12891,15.9901,9.05338,30.1502,90.9355,651.333,684.732,1,0.833498,0.551036,0.0404944,0.999895,0.829823,0.0245283,0.869159,0.93,687.42,909.827,1568.97,1997.87,105.589,520.852,1495.03,550.882,1682.36,242.098,322.117,-0.0468198,0.190996,-0.221327,-1.45015,0,0,0,0,0,0.022603,20.5578,41.4673,1,0.993289,174.897,751.429,342.072,1050.25,246.61,1213.81,973.923,3343.79,0.00365917
