stamp,input_points,valid_points,unique_pixels,collisions,invalid,horizontal_boundary_adjusted,vertical_top_clamped,vertical_bottom_clamped,vertical_clamped_ratio,filtered_min,filtered_max,filtered_mean,filtered_std,filtered_p01,filtered_p05,filtered_p50,filtered_p95,filtered_p99,filtered_sat0,filtered_sat255,raw_min,raw_max,raw_p50,raw_p95,raw_p99,elev_min_deg,elev_max_deg,elev_p01_deg,elev_p99_deg,intensity_preprocess_ms,intensity_map_voxels,observed_voxels,selected_intensity_voxels,selected_intensity_points
1691509832356948442,126886,126830,126768,62,56,0,0,0,0,0,255,130.114,26.477,39.5,82.5,131.5,164.5,212.5,27,438,3,3968,76.5,255.5,255.5,-44.9678,46.2734,-43.875,45.125,19.8669,1571,1249,100,2999
1691509832456941785,126743,126687,126629,58,56,0,0,0,0,0,255,130.107,27.0648,38.5,81.5,131.5,166.5,216.5,41,522,3,4867,76.5,255.5,255.5,-44.9669,46.275,-43.875,45.125,21.3926,1597,1282,100,3050
1691509832556922176,126788,126732,126678,54,56,0,0,0,0,0,255,129.958,27.5858,35.5,79.5,131.5,166.5,219.5,36,613,3,4935,76.5,255.5,255.5,-44.9726,46.2721,-43.875,45.125,20.9913,1629,1317,100,3014
1691509832657014955,126792,126736,126678,58,56,0,0,0,0,0,255,129.983,27.445,38.5,80.5,131.5,165.5,219.5,25,619,3,5241,76.5,255.5,255.5,-44.9786,46.2746,-43.875,45.125,20.8298,1652,1343,100,2938
1691509832757141503,126833,126776,126723,53,57,0,0,0,0,0,255,130.097,27.3042,38.5,80.5,131.5,166.5,218.5,30,564,2,5182,76.5,255.5,255.5,-44.9876,46.2746,-43.875,45.125,21.1242,1681,1376,100,2854
1691509832857243565,126602,126546,126476,70,56,0,0,0,0,0,255,130.225,27.3186,38.5,81.5,131.5,166.5,219.5,38,588,2,5014,76.5,255.5,255.5,-44.971,46.2734,-43.875,45.125,20.8808,1721,1350,100,2893
1691509832957094154,126459,126403,126353,50,56,0,0,0,0,0,255,130.333,27.2343,38.5,82.5,131.5,166.5,219.5,37,606,3,5278,76.5,255.5,255.5,-44.9904,46.2696,-43.875,45.125,21.5683,1751,1364,100,2917
1691509833057097669,126433,126377,126321,56,56,0,0,0,0,0,255,130.479,26.7905,41.5,83.5,131.5,166.5,218.5,32,543,3,5941,76.5,255.5,255.5,-44.9669,46.2717,-43.875,45.125,21.0471,1768,1381,100,2851
1691509833157069399,126460,126404,126347,57,56,0,0,0,0,0,255,130.469,26.521,41.5,84.5,131.5,165.5,216.5,38,541,3,5786,76.5,255.5,255.5,-44.9653,46.2696,-43.875,45.125,21.972,1782,1386,100,2862
1691509833256792964,126547,126491,126430,61,56,0,0,0,0,0,255,130.423,26.1739,43.5,84.5,131.5,165.5,213.5,32,513,4,6006,76.5,255.5,255.5,-44.9688,46.2688,-43.875,45.125,21.6027,1803,1402,100,2803
