stamp,candidates,valid_matches,immature_matches,match_ratio,r_abs_p50,r_abs_p75,r_abs_p90,r_abs_p95,r_abs_max,r_signed_median,grad_p50,grad_p75,grad_p90,grad_p95,J_norm_p50,J_norm_p90,J_norm_p99,J_norm_max,Jdof_p90_rx,Jdof_p90_ry,Jdof_p90_rz,Jdof_p90_tx,Jdof_p90_ty,Jdof_p90_tz,H_geo_fro,H_photo_fro,H_photo_trace,b_geo_norm,b_photo_norm,R_H_unscaled,R_b_unscaled,R_H_scaled,lambda_ref,eig1,eig2,eig3,eig4,eig5,eig6,photo_step_t_mm,photo_step_r_deg,lm_iterations,lm_accepted,lm_rejected,reject_rate,lm_initial_cost,lm_final_cost,geo_cost,photo_cost,pose_delta_t_m,pose_delta_r_deg,photo_effective_residuals,fd_samples,fd_median_rel_err,fd_p95_rel_err,fd_done,photometric_scale,fd_level_a_samples,fd_level_a_median,fd_level_a_p95,fd_level_a_sign,fd_level_b_points,fd_level_b_scalars,fd_level_b_median,fd_level_b_p95,fd_level_b_sign,fd_b_rx_med,fd_b_rx_p95,fd_b_ry_med,fd_b_ry_p95,fd_b_rz_med,fd_b_rz_p95,fd_b_tx_med,fd_b_tx_p95,fd_b_ty_med,fd_b_ty_p95,fd_b_tz_med,fd_b_tz_p95,fd_b_analytic_p50,fd_b_analytic_p90,fd_b_analytic_p99,fd_b_numeric_p50,fd_b_numeric_p90,fd_b_numeric_p99,fd_c_voxel_switch,fd_c_cell_switch,fd_c_validity_switch,fd_c_noswitch_samples,fd_c_noswitch_median,fd_c_noswitch_p95,photo_near_fraction,photo_near_r_p50,photo_near_r_p90,photo_far_r_p50,photo_far_r_p90,geo_lambda1,geo_lambda2,geo_lambda3,geo_two_weak_flag,eta_world_x,eta_world_y,eta_world_z,eta_abs_dot_prev,eta_angle_prev_deg,weak_subspace_diff_F,selected_voxel_jaccard,selected_voxel_retention,selected_score_p10,selected_score_p50,selected_score_p90,selected_score_max,candidate_score_p50,candidate_score_p90,candidate_score_p99,q_geo_v1,q_geo_v2,q_photo_v1,q_photo_v2,s_geo_v1,s_geo_v2,s_photo_v1,s_photo_v2,parity_count_serial,parity_count_parallel,parity_cost_rel,parity_H_rel,parity_b_rel,source_near_fraction,photo_near_r_p95,photo_far_r_p95,photo_near_inlier_fraction,photo_far_inlier_fraction,photo_near_grad_p50,photo_near_grad_p90,photo_far_grad_p50,photo_far_grad_p90,photo_near_J_p50,photo_near_J_p90,photo_far_J_p50,photo_far_J_p90,photo_near_H_fraction
1691509832356948442,2999,1528,1443,0.509503,6.28353,11.3506,20.4016,32.5003,198.728,-0.534162,193.924,342.335,630.936,928.634,397.516,1546.97,4871.52,17230.7,770.249,687.679,827.511,377.116,388.479,191.957,43732.9,1268.48,2168.99,0.459797,2.47226,0,0,0.0290052,0,39.8488,57.9818,79.2016,357.592,557.981,1076.39,0,0,4,3,9,0.75,1,1.43469,1.43469,0.277895,0.00112581,0.12841,1528,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.150524,4.7384,11.6956,6.60438,22.0176,82.7247,532.254,635.021,1,0.823045,0.567868,-0.0110945,1,0,0,0,0,366.32,466.629,1003.2,2200.76,26.6595,303.457,936.245,509.945,1661.74,143.732,154.407,0.0433198,-0.08423,-1.22899,-0.617654,0,0,0,0,0,0.0766922,14.9608,38.7307,1,0.991525,145.384,320.731,211.385,654.182,208.453,488.098,470.475,1723.49,0.0116744
1691509832456941785,3058,1709,1283,0.558862,6.71012,12.5183,22.8763,38.8174,214.967,-0.502451,201.778,360.395,666.616,970.764,438.371,1612.03,4723.25,12483.5,806.53,726.662,908.294,383.632,392.524,180.705,47786.1,1382.01,2437.07,14.6612,2.00726,0,0,0.0289208,0,48.0357,74.9264,94.8592,390.628,729.194,1099.42,0,0,1,1,8,0.888889,1,1.2549,1.2549,0.387707,1.17277e-06,0.000341653,1709,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12639,5.47142,13.5329,6.89964,25.1007,81.9722,557.189,651.838,1,0.823615,0.567149,0.000595686,0.999931,0.671859,0.0171231,0.801802,0.89,376.769,500.14,1054.77,2422.58,29.1457,311.024,989.962,522.075,1703.16,133.971,169.948,-1.80773,0.940516,0.168779,-0.894978,0,0,0,0,0,0.0706344,18.5067,43.0827,1,0.988614,138.101,283.299,217.532,706.191,198.24,400.702,517.266,1753.93,0.00883835
1691509832556922176,3021,1648,1315,0.545515,6.94276,13.9391,25.6393,42.7155,196.57,-0.363359,233.477,424.303,772.01,1182.49,589.051,2098.37,5628.82,12197.8,1015,891.698,1226.6,436.755,473.137,201.535,45649.8,2015.12,3400.87,0.581511,1.04714,0,0,0.0441431,0,58.7169,73.6288,107.898,527.973,931.594,1701.06,0,0,4,3,11,0.785714,1,1.3084,1.3084,0.392636,0.00440639,0.0923972,1648,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0382282,5.95617,15.9421,7.02789,25.8239,84.5094,584.001,652.49,1,0.825465,0.563245,0.0369259,0.999331,2.09635,0.0743023,0.785714,0.88,410.818,549.28,1204.94,2443.96,34.24,326.061,1102.24,513.786,1652.7,171.396,210.203,-0.471209,-0.107166,-0.159288,-0.298276,0,0,0,0,0,0.020854,21.1533,43.9395,1,0.986751,183.763,608.513,236.745,790.869,258.424,962.969,599.543,2155.01,0.00539685
1691509832657014955,2938,1754,1138,0.597005,7.35617,14.0566,25.8705,36.6193,156.788,-0.0221796,239.134,436.72,807.275,1155.43,608.611,2234.65,5191.31,11674.8,973.706,953.482,1313.87,484.776,462.19,214.662,48450.5,2143.19,3571.22,0.543911,2.01671,0,0,0.0442346,0,47.754,58.9555,87.4368,512.77,1104.42,1759.88,0,0,3,3,8,0.727273,1,1.66332,1.66332,0.328009,0.00453586,0.0512442,1754,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0342075,6.70764,16.2771,7.37367,26.2649,85.3553,596.318,666.327,1,0.826881,0.561191,0.0365028,0.999997,0.144952,0.00562415,0.834862,0.91,434.513,567.845,1246.48,2354.57,40.5873,346.251,1079.65,510.206,1652.89,180.25,201.954,0.0249623,0.129206,-0.636886,0.216779,0,0,0,0,0,0.0204221,20.5298,37.3418,1,0.992916,162.305,586.041,243.586,820.515,210.902,947.526,620.847,2285.71,0.00479365
1691509832757141503,2854,1681,1146,0.588998,6.54664,13.313,23.6475,38.9416,184.307,0.241606,255.856,459.236,832.666,1158.39,660.691,2359.46,5114.58,7810.46,1121.24,1000.63,1335.6,464.315,508.978,246.837,50939.8,2201.83,3622.06,1.41032,2.02572,0,0,0.0432242,0,37.2377,53.7849,100.407,504.367,1077.24,1849.02,0,0,2,2,8,0.8,1,1.65422,1.65422,0.320734,0.00665182,0.0419715,1681,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0404521,4.30811,11.8009,6.69251,24.4707,85.8294,620.184,670.987,1,0.829954,0.553665,0.0680516,0.999469,1.86675,0.0754276,0.801802,0.89,490.327,646.169,1264.51,2421.91,48.3284,362.181,1153.5,488.28,1708.67,162.408,206.493,0.118675,-0.281189,0.912823,0.369835,0,0,0,0,0,0.0238262,14.444,39.6614,1,0.99504,165.518,517.837,262.541,844.417,227.035,823.352,681.735,2495.5,0.00425569
1691509832857243565,2903,1633,1207,0.562522,7.7768,15.2794,27.933,45.1787,180.1,-0.508689,283.347,498.795,886.624,1256.37,724.206,2515.66,6364.21,19454,1175.69,1172.17,1409.09,530.27,537.462,293.202,38542.2,2809.99,4607.07,0.975591,2.91501,0,0,0.0729068,0,39.9916,64.0603,133.733,626.853,1383.04,2359.39,0,0,4,4,8,0.666667,1,1.76354,1.76354,0.403202,0.00329094,0.045658,1633,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0440906,4.52081,15.9605,8.00383,28.3469,84.1526,622.845,654.002,1,-0.832201,-0.529203,-0.165486,0.994952,5.75969,0.199932,0.818182,0.9,555.309,692.769,1318.07,2346.32,58.4796,401.38,1175.32,485.941,1626.26,207.534,234.542,-0.0258297,0.0765521,-1.3653,-0.0254521,0,0,0,0,0,0.0248019,17.7006,45.4396,1,0.988469,154.74,694.604,290.382,923.826,212.631,1133.24,749.893,2580.65,0.00443583
1691509832957094154,2910,1651,1231,0.567354,8.34394,16.1523,30.8857,46.3428,181.993,-0.617823,286.602,511.807,928.906,1293.79,736.323,2653.44,6850.57,13389.4,1235.69,1208.78,1500.63,557.164,594.917,290.844,41472.4,3236.61,5315.97,27.4472,4.45768,0,0,0.0780426,0,55.8434,81.1065,180.674,756.141,1464.05,2778.15,0,0,1,0,9,1,1,1.96832,1.96832,0.384604,0,0,1651,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0436099,6.12339,16.5783,8.42386,31.2032,83.5439,629.163,652.293,1,0.831069,0.508632,0.224985,0.998018,3.60819,0.127059,0.834862,0.91,578.207,762.958,1466.93,2336.78,73.0196,440.232,1304.23,504.519,1570.68,260.664,270.202,5.10613,1.066,1.06281,0.200358,0,0,0,0,0,0.0247423,21.0536,46.5212,1,0.993034,161.481,614.418,293.237,934.35,216.589,978.326,762.278,2684.29,0.00399874
1691509833057097669,2869,1545,1301,0.538515,8.13801,16.4728,30.8676,45.4926,175.446,-0.621455,309.878,551.582,970.644,1268.89,832.855,2850.59,6892.22,13042.5,1287.68,1300.9,1687.27,565.465,620.148,285.419,45621.1,3277.67,5355.4,1.64918,4.69803,0,0,0.0718454,0,51.2303,66.4753,193.586,753.344,1465.05,2825.72,0,0,2,2,8,0.8,1,1.55263,1.55263,0.369592,0.00587769,0.07025,1545,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02589,5.37694,12.5495,8.23537,32.1198,90.5995,631.53,666.87,1,-0.836892,-0.532003,-0.128779,0.995082,5.68464,0.202048,0.724138,0.84,612.573,788.651,1626.26,2338.55,79.7237,448.878,1270.78,514.574,1614.92,255.805,270.208,0.299147,-0.138647,-0.367744,-0.797942,0,0,0,0,0,0.0139421,13.3159,45.7228,1,0.993355,210.35,806.859,313.893,978.999,342.967,1287.07,852.888,2873.83,0.0036451
1691509833157069399,2869,1609,1248,0.560823,8.54429,17.1333,31.5315,44.9793,140.409,-0.0683209,297.963,545.914,940.231,1234.12,788.485,2889.94,6373.4,12576.1,1339.81,1260.11,1704.41,532.131,639.54,223.035,49390.1,3497.66,5400.03,3.41641,5.63251,0,0,0.0708171,0,38.173,55.1847,115.974,610.416,1467.47,3112.81,0,0,2,1,9,0.9,1,1.74376,1.74376,0.329706,0.0061898,0.0225709,1609,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0466128,6.34886,14.6311,8.73184,32.4658,89.375,630.491,672.134,1,0.832499,0.551184,0.0560456,0.997161,4.31814,0.148099,0.834862,0.91,629.545,857.637,1473.79,2188.57,85.5383,458.677,1353.82,561.77,1628.07,206.048,266.076,-0.238053,-0.184649,-0.0860115,0.337842,0,0,0,0,0,0.0261415,17.65,45.2807,1,0.998044,170.081,693.832,303.763,955.002,218.477,1065,825.329,2975.46,0.00436393
1691509833256792964,2803,1602,1191,0.571531,8.92987,17.3868,29.8835,43.1148,179.337,-0.298569,307.847,584.843,989.103,1320.85,848.983,3024.96,6568.61,12520.6,1380.26,1265.9,1870.05,582.606,689.686,210.99,50052.7,3830.34,5818,4.72416,4.12768,0,0,0.0765263,0,38.9244,56.4308,114.636,626.634,1527.89,3453.49,0,0,1,1,8,0.888889,1,1.53148,1.53148,0.357945,9.3574e-07,9.40664e-05,1602,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0349563,7.16675,15.4738,9.13082,30.1283,88.2363,636.988,680.775,1,0.835706,0.546894,0.050024,0.999968,0.461742,0.00873353,0.886792,0.94,633.898,885,1523.77,2138.45,90.8033,492.571,1423.6,536.988,1663.91,230.391,306.677,-2.25752,-0.346817,0.5226,0.859092,0,0,0,0,0,0.0199786,19.4953,44.0275,1,0.994179,184.284,704.627,314.889,1008.83,269.632,1145.36,874.554,3114.38,0.00349162
