stamp,lambda,raw_huber_knee,huber_inlier_fraction,H_photo_fro,H_geo_fro,R_H,b_photo_norm,b_geo_norm,photo_cost,geo_cost,pred_t_m,pred_r_deg
1705888360937982153,0.0005,200,0.985788,2574.52,24170.4,0.106516,1.83116,25.2444,0.378763,5.94224,1.23187e-09,1.55281e-07
1705888360937982153,0.001,100,0.905685,9782.27,24170.4,0.404721,5.70276,25.2444,1.36946,5.94224,3.75955e-09,4.85563e-07
1705888360937982153,0.002,50,0.662791,32269.6,24170.4,1.33509,13.6816,25.2444,4.14677,5.94224,8.73211e-09,1.17205e-06
1705888360937982153,0.003,33.3333,0.518088,59419,24170.4,2.45834,21.6897,25.2444,7.31165,5.94224,1.41554e-08,1.85031e-06
1705888360937982153,0.005,20,0.339793,122390,24170.4,5.06363,51.7077,25.2444,13.9693,5.94224,3.09954e-08,4.47656e-06
1705888360937982153,0.01,10,0.210594,297458,24170.4,12.3067,112.777,25.2444,31.0318,5.94224,6.72847e-08,9.76855e-06
1705888360937982153,0.02,5,0.121447,711021,24170.4,29.417,232.179,25.2444,65.468,5.94224,1.37978e-07,2.01122e-05
1705888360937982153,0.03,3.33333,0.0904393,1.18501e+06,24170.4,49.0275,350.32,25.2444,99.9855,5.94224,2.06991e-07,3.03532e-05
1705888360937982153,0.04,2.5,0.0749354,1.69097e+06,24170.4,69.9605,474.811,25.2444,134.526,5.94224,2.7846e-07,4.1156e-05
1705888361038607927,0.0005,200,0.991612,5215.81,33137.7,0.157398,2.51773,8.30964,0.783936,6.31208,2.80385e-07,5.53366e-05
1705888361038607927,0.001,100,0.901738,19590.2,33137.7,0.591177,8.54929,8.30964,2.86365,6.31208,9.36997e-07,0.000187422
1705888361038607927,0.002,50,0.68544,62475.2,33137.7,1.88532,20.5743,8.30964,8.68279,6.31208,2.0608e-06,0.000448443
1705888361038607927,0.003,33.3333,0.532055,116981,33137.7,3.53016,40.63,8.30964,15.3046,6.31208,3.83092e-06,0.000875088
1705888361038607927,0.005,20,0.365488,238294,33137.7,7.19103,80.8389,8.30964,29.2538,6.31208,7.34027e-06,0.00168747
1705888361038607927,0.01,10,0.213301,593842,33137.7,17.9204,173.418,8.30964,65.0985,6.31208,1.51921e-05,0.00332306
1705888361038607927,0.02,5,0.119233,1.38681e+06,33137.7,41.8501,349.99,8.30964,137.554,6.31208,2.83161e-05,0.00568776
1705888361038607927,0.03,3.33333,0.0850809,2.24644e+06,33137.7,67.7912,531.583,8.30964,210.205,6.31208,3.98573e-05,0.0074327
