stamp,candidates,valid_matches,immature_matches,match_ratio,r_abs_p50,r_abs_p75,r_abs_p90,r_abs_p95,r_abs_max,r_signed_median,grad_p50,grad_p75,grad_p90,grad_p95,J_norm_p50,J_norm_p90,J_norm_p99,J_norm_max,Jdof_p90_rx,Jdof_p90_ry,Jdof_p90_rz,Jdof_p90_tx,Jdof_p90_ty,Jdof_p90_tz,H_geo_fro,H_photo_fro,H_photo_trace,b_geo_norm,b_photo_norm,R_H_unscaled,R_b_unscaled,R_H_scaled,lambda_ref,eig1,eig2,eig3,eig4,eig5,eig6,photo_step_t_mm,photo_step_r_deg,lm_iterations,lm_accepted,lm_rejected,reject_rate,lm_initial_cost,lm_final_cost,geo_cost,photo_cost,pose_delta_t_m,pose_delta_r_deg,photo_effective_residuals,fd_samples,fd_median_rel_err,fd_p95_rel_err,fd_done,photometric_scale,fd_level_a_samples,fd_level_a_median,fd_level_a_p95,fd_level_a_sign,fd_level_b_points,fd_level_b_scalars,fd_level_b_median,fd_level_b_p95,fd_level_b_sign,fd_b_rx_med,fd_b_rx_p95,fd_b_ry_med,fd_b_ry_p95,fd_b_rz_med,fd_b_rz_p95,fd_b_tx_med,fd_b_tx_p95,fd_b_ty_med,fd_b_ty_p95,fd_b_tz_med,fd_b_tz_p95,fd_b_analytic_p50,fd_b_analytic_p90,fd_b_analytic_p99,fd_b_numeric_p50,fd_b_numeric_p90,fd_b_numeric_p99,fd_c_voxel_switch,fd_c_cell_switch,fd_c_validity_switch,fd_c_noswitch_samples,fd_c_noswitch_median,fd_c_noswitch_p95,photo_near_fraction,photo_near_r_p50,photo_near_r_p90,photo_far_r_p50,photo_far_r_p90,geo_lambda1,geo_lambda2,geo_lambda3,geo_two_weak_flag,eta_world_x,eta_world_y,eta_world_z,eta_abs_dot_prev,eta_angle_prev_deg,weak_subspace_diff_F,selected_voxel_jaccard,selected_voxel_retention,selected_score_p10,selected_score_p50,selected_score_p90,selected_score_max,candidate_score_p50,candidate_score_p90,candidate_score_p99,q_geo_v1,q_geo_v2,q_photo_v1,q_photo_v2,s_geo_v1,s_geo_v2,s_photo_v1,s_photo_v2,parity_count_serial,parity_count_parallel,parity_cost_rel,parity_H_rel,parity_b_rel,source_near_fraction,photo_near_r_p95,photo_far_r_p95,photo_near_inlier_fraction,photo_far_inlier_fraction,photo_near_grad_p50,photo_near_grad_p90,photo_far_grad_p50,photo_far_grad_p90,photo_near_J_p50,photo_near_J_p90,photo_far_J_p50,photo_far_J_p90,photo_near_H_fraction
1705888360937982153,3221,774,2132,0.240298,31.7685,59.9147,94.5136,144.937,231.582,-2.49931,694.538,1378.96,2370.29,2825.65,2186.29,7996.8,13387.1,15076.1,1282.74,4599.68,4890.85,483.149,1426.96,1384.75,24170.4,9782.27,14583.7,25.2444,5.70276,0,0,0.404721,0,9.04165,24.879,130.546,653.994,6379.6,7385.67,0,0,1,1,9,0.9,1,5.94224,5.94224,1.36946,2.34754e-08,1.9307e-06,774,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.7685,94.5136,57.8647,111.233,162.902,1,0.0963442,-0.717039,0.690343,1,0,0,0,0,352.39,918.011,2428.42,4555.82,76.8307,1251.35,3417.83,548.376,1072.16,620.41,559.644,0.971202,4.10025,1.81503,-0.698351,0,0,0,0,0,0,0,144.937,0,0.905685,0,0,694.538,2370.29,0,0,2186.29,7996.8,0
1705888361038607927,3244,1669,1512,0.514488,30.8182,59.251,99.4584,135.357,242.448,-6.45936,650.781,1278.04,2108.18,2834.94,2047.24,7265.83,13398,31071.1,1559.82,4250.02,4608.56,539.268,1384.63,1308.63,33137.7,19590.2,29645.4,8.30964,8.54929,0,0,0.591177,0,29.3974,50.735,391.959,1596.84,13140.5,14436,0,0,2,2,11,0.846154,1,6.31208,6.31208,2.86365,0.0130777,0.191165,1669,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.8182,99.4584,80.1553,154.754,177.091,1,0.194032,-0.700936,0.686324,0.995091,5.67962,0.169241,0.886792,0.94,741.45,1427.63,2892.03,4565.96,119.886,1584.53,4091.61,787.77,1201.12,1211.15,1007.39,0.916373,0.838803,-0.117135,-2.0635,0,0,0,0,0,0,0,135.357,0,0.901738,0,0,650.781,2108.18,0,0,2047.24,7265.83,0
1705888361138442497,3281,2218,1042,0.676013,29.8363,58.2869,94.7627,125.664,235.357,-4.84623,631.109,1174.23,1969.73,2568.35,2060.64,6799.56,12479.9,32762.8,1548.93,3994.1,4341.41,523.076,1294.64,1177.34,33751.1,23599.9,35406.2,16.4713,15.4744,0,0,0.699234,0,50.6671,85.2986,345.429,1965.9,14263.7,18695.1,0,0,1,1,8,0.888889,1,5.87418,5.87418,3.51415,4.58006e-06,0.000500258,2218,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.8363,94.7627,81.3812,162.303,181.315,1,0.177297,-0.702902,0.688836,0.999855,0.976115,0.0256201,0.923077,0.96,916.33,1561.36,3003.28,4627.11,179.378,1619.76,3979.75,766.699,1283.17,1478.96,1091.78,-3.39275,0.133273,-2.72502,1.69677,0,0,0,0,0,0,0,125.664,0,0.907124,0,0,631.109,1969.73,0,0,2060.64,6799.56,0
1705888361238272659,3232,2425,789,0.750309,29.2301,57.0822,101.316,131.519,252.173,-2.51613,588.359,1159.32,1968.63,2521.1,1951.73,6807.43,12252.6,30757.2,1597.95,3969.55,4240.1,521.287,1249.77,1198.3,36185.2,24964,37851.2,3.03711,14.417,0,0,0.689895,0,54.3729,96.7919,404.226,2378.75,15488,19429.1,0,0,2,1,12,0.923077,1,6.01386,6.01386,3.98167,0.00983623,0.178406,2425,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.2301,101.316,93.8206,173.918,185.262,1,0.145572,-0.720009,0.678525,0.999297,2.14808,0.0767183,0.904762,0.95,1002.79,1532.93,3022.58,4447.36,207.116,1649.28,3749.56,830.51,1269.47,1513.56,1240.63,-0.443691,-0.172049,5.0467,2.45537,0,0,0,0,0,0,0,131.519,0,0.89567,0,0,588.359,1968.63,0,0,1951.73,6807.43,0
1705888361338114933,3226,2507,696,0.777123,29.588,59.2848,98.6005,129.82,255,-5.79154,580.306,1145.34,1880.4,2479.81,1911.91,6548.94,12731.2,26565.5,1549.26,3938.33,4135.03,562.184,1173.61,1169.36,37339.9,24159.5,36652.8,0.723067,11.1403,0,0,0.647014,0,37.7222,84.9651,381.035,2222.28,15723.8,18203,0,0,3,3,12,0.8,1,5.8932,5.8932,4.19094,0.00838641,0.0929377,2507,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.588,98.6005,91.5849,171.215,185.2,1,0.194669,-0.714908,0.671574,0.998758,2.8564,0.129197,0.886792,0.94,1132.86,1582.22,3084.48,4559.48,272.519,1716.31,3969.68,831.641,1393.11,1458.14,1223.02,0.445963,-0.210553,1.55686,2.55533,0,0,0,0,0,0,0,129.82,0,0.902673,0,0,580.306,1880.4,0,0,1911.91,6548.94,0
1705888361437958601,3136,2555,570,0.814732,28.0802,58.7719,102.667,130.929,245.634,-3.59894,566.29,1110.15,1892.54,2394.54,1870.73,6566.89,12014,52780.5,1570.39,3665.83,4286.71,513.436,1264.29,1075.11,39768.3,25817.6,39620.8,3.84093,3.82208,0,0,0.649199,0,50.447,110.935,458.648,2825.71,16670.2,19504.9,0,0,2,2,8,0.8,1,5.96529,5.96529,4.232,0.00462616,0.0662114,2555,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.0802,102.667,92.9797,177.329,190.692,1,0.212985,-0.708699,0.672594,0.999812,1.10969,0.033465,0.904762,0.95,1142.73,1677.2,3129.69,4425.49,299.466,1713.13,3846.04,824.833,1434.97,1548.41,1223.52,-0.067723,0.613359,-0.579975,0.855281,0,0,0,0,0,0,0,130.929,0,0.895499,0,0,566.29,1892.54,0,0,1870.73,6566.89,0
1705888361538607276,3047,2445,595,0.802429,33.1255,64.9004,105.642,137.314,251.774,-2.17816,596.578,1146.1,1856,2422.09,1909.83,6477.55,12760.9,36236.6,1560.58,3970.06,4080.92,555.563,1205.67,1186.22,38844,23690.8,36135,4.75389,7.7649,0,0,0.609896,0,66.1128,82.8439,363.382,2337.46,15722.1,17563.1,0,0,2,2,8,0.8,1,5.8113,5.8113,4.52525,0.00361269,0.0334268,2445,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.1255,105.642,93.4303,178.47,193.099,1,-0.20533,-0.68674,-0.6973,0.0260405,88.5078,0.147046,0.785714,0.88,1155.58,1592.44,3233.64,4214.95,323.777,1663.33,3856.48,847.134,1535.91,1384.5,1112.19,0.178663,-0.325642,0.880657,-0.77963,0,0,0,0,0,0,0,137.314,0,0.887117,0,0,596.578,1856,0,0,1909.83,6477.55,0
1705888361638443740,2904,2350,541,0.809229,33.9737,66.9052,109.785,145.186,255,-1.77925,600.426,1173.86,1949.9,2422.08,2034.02,6778.19,12711.9,25243.6,1591.32,4030.49,4247.09,581.757,1245.57,1178.42,41047.7,24158.4,36578.5,4.30015,9.3772,0,0,0.588546,0,53.0241,93.9608,350.384,2298.03,14946.7,18836.4,0,0,2,2,8,0.8,1,5.68457,5.68457,4.57727,0.0152591,0.0946144,2350,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.9737,109.785,90.6288,172.867,189.504,1,-0.267969,0.722846,-0.636935,0.00274992,89.8424,0.0429375,0.724138,0.84,1245.19,1740.22,3298.95,4357.89,439.126,1825.99,3947.41,809.251,1654.5,1394.6,1114.81,-1.21307,0.237923,-1.82478,0.0873745,0,0,0,0,0,0,0,145.186,0,0.877447,0,0,600.426,1949.9,0,0,2034.02,6778.19,0
1705888361738281494,3023,2385,633,0.788951,32.9319,64.527,106.76,141.951,252.395,-3.33588,581.127,1152.28,1853.42,2355.61,1886.69,6643.11,11966.1,24270.9,1545.95,3974.97,4323.59,581.371,1231.56,1177.08,42533.1,22589.3,34335.3,4.02615,26.9804,0,0,0.531098,0,53.8904,66.3596,341.043,2230.84,14316.8,17326.4,0,0,2,2,8,0.8,1,5.94614,5.94614,4.49075,0.00986127,0.0740314,2385,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.9319,106.76,97.2286,177.33,195.442,1,-0.124792,-0.705072,-0.698069,0.0315936,88.1895,0.150159,0.73913,0.85,1284.99,1703.78,3180.23,4395.26,386.047,1758.35,3833.33,874.291,1646.46,1341.69,1112.87,-0.178409,-0.646696,-3.85916,6.28492,0,0,0,0,0,0,0,141.951,0,0.885535,0,0,581.127,1853.42,0,0,1886.69,6643.11,0
1705888361838119385,2901,2332,562,0.803861,35.4873,71.1374,111.064,143.439,251.79,-1.07814,608.036,1194.35,1861.43,2393.46,1990.02,6688.61,13094.8,37005.3,1646.04,4122.25,4230.7,619.279,1233.3,1187.71,42289.7,25701.2,39027.2,0.373775,11.2643,0,0,0.607741,0,74.7381,145.662,415.55,2336.54,16458.2,19596.4,0,0,5,4,14,0.777778,1,5.82594,5.82594,4.74429,0.00555544,0.104435,2332,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.4873,111.064,94.0981,180.37,193.532,1,-0.319872,-0.705707,-0.632186,0.978801,11.8185,0.429546,0.818182,0.9,1296.33,1754.27,3083.81,4696.51,429.554,1807.81,3574.47,907.414,1801.22,1324.97,1054.59,0.032045,-0.100333,2.49945,2.68476,0,0,0,0,0,0,0,143.439,0,0.869211,0,0,608.036,1861.43,0,0,1990.02,6688.61,0
