stamp,input_points,valid_points,unique_pixels,collisions,invalid,horizontal_boundary_adjusted,vertical_top_clamped,vertical_bottom_clamped,vertical_clamped_ratio,filtered_min,filtered_max,filtered_mean,filtered_std,filtered_p01,filtered_p05,filtered_p50,filtered_p95,filtered_p99,filtered_sat0,filtered_sat255,raw_min,raw_max,raw_p50,raw_p95,raw_p99,elev_min_deg,elev_max_deg,elev_p01_deg,elev_p99_deg,intensity_preprocess_ms,intensity_map_voxels,observed_voxels,selected_intensity_voxels,selected_intensity_points
1706671289800151667,23735,23735,9008,14727,0,0,0,0,0,0,255,128.213,61.8193,0.5,21.5,130.5,255.5,255.5,298,1418,0,255,35.5,81.5,150.5,-37.8764,38.2733,-33.875,34.125,3.31556,3025,821,100,2374
1706671289899990569,23717,23717,9012,14705,0,0,0,11,0.000463802,0,255,129.047,61.2902,0.5,23.5,131.5,255.5,255.5,367,1470,0,255,35.5,80.5,144.5,-38.2142,38.4961,-33.875,34.625,3.04619,3420,1238,100,2392
1706671289999819143,23738,23738,9015,14723,0,0,0,17,0.000716151,0,255,127.965,61.1806,0.5,23.5,129.5,255.5,255.5,244,1396,0,255,35.5,80.5,150.5,-38.4927,38.1482,-34.125,34.625,3.28115,3722,1421,100,2404
1706671290099660758,23757,23757,9021,14736,0,0,0,12,0.000505114,0,255,129.554,61.8476,0.5,23.5,130.5,255.5,255.5,281,1478,0,255,35.5,82.5,150.5,-38.0834,38.511,-34.375,34.125,3.28708,3914,1580,100,2312
1706671290199881508,23739,23739,8968,14771,0,0,0,18,0.000758246,0,255,128.326,61.9137,0.5,24.5,128.5,255.5,255.5,316,1459,0,255,35.5,80.5,150.5,-38.5114,38.1098,-34.375,34.375,3.37846,4108,1669,100,2317
1706671290299708454,23720,23720,8948,14772,0,0,0,10,0.000421585,0,255,129.238,61.2827,0.5,21.5,131.5,255.5,255.5,316,1343,0,255,35.5,78.5,131.5,-38.1804,38.5033,-34.375,34.625,3.3927,4267,1721,100,2264
1706671290399553067,23737,23737,8839,14898,0,0,0,17,0.000716181,0,255,130.376,62.3913,0.5,23.5,131.5,255.5,255.5,277,1547,0,255,35.5,81.5,133.5,-38.4972,38.2256,-34.375,34.625,3.42948,4399,1800,100,2129
1706671290500195096,23751,23751,8834,14917,0,0,0,13,0.000547345,0,255,129.021,60.83,2.5,25.5,129.5,255.5,255.5,236,1437,0,255,35.5,81.5,150.5,-38.2909,38.4764,-34.375,34.625,3.43304,4521,1846,100,2192
1706671290600041452,23727,23727,8899,14828,0,0,0,16,0.000674337,0,255,128.496,63.5261,0.5,20.5,128.5,255.5,255.5,328,1671,0,255,35.5,83.5,150.5,-38.4608,38.3279,-34.625,34.625,3.46983,4624,1867,100,2173
1706671290699886467,23715,23715,8960,14755,0,0,0,15,0.000632511,0,255,128.216,62.1466,3.5,24.5,128.5,255.5,255.5,226,1552,0,255,35.5,80.5,150.5,-38.3691,38.4284,-34.375,34.125,3.40931,4706,1908,100,2192
1706671290799721321,23720,23720,9031,14689,0,0,0,15,0.000632378,0,255,129.462,62.9219,0.5,22.5,131.5,255.5,255.5,349,1510,0,255,35.5,83.5,150.5,-38.3901,38.405,-34.125,34.125,3.44254,4782,1951,100,2125
1706671290899553488,23695,23695,9088,14607,0,0,0,17,0.000717451,0,255,128.892,62.6376,3.5,24.5,128.5,255.5,255.5,198,1602,0,255,35.5,81.5,150.5,-38.4342,37.6465,-34.125,33.625,3.34642,4867,1934,100,2169
1706671291000199904,23701,23701,9036,14665,0,0,0,0,0,0,255,128.953,61.1261,0.5,23.5,131.5,255.5,255.5,273,1429,0,255,35.5,80.5,148.5,-37.7555,38.3421,-33.875,34.125,3.39032,4943,2037,100,2040
1706671291100046271,23704,23704,8998,14706,0,0,0,13,0.000548431,0,255,128.473,61.1013,0.5,23.5,129.5,255.5,255.5,345,1398,0,255,35.5,80.5,131.5,-38.2966,38.4678,-33.875,34.125,3.38083,5010,2045,100,1957
1706671291199884440,23756,23756,8962,14794,0,0,0,18,0.000757703,0,255,127.816,60.8285,2.5,24.5,130.5,255.5,255.5,237,1328,0,255,34.5,79.5,143.5,-38.4933,38.2419,-34.125,34.875,3.50068,5056,2047,100,1956
1706671291299720935,23754,23754,8958,14796,0,0,0,11,0.00046308,0,255,129.346,61.3618,0.5,24.5,130.5,255.5,255.5,335,1465,0,255,35.5,80.5,142.5,-38.1843,38.5017,-34.375,34.375,3.3927,5108,2066,100,2056
1706671291399565559,23756,23756,8902,14854,0,0,0,17,0.000715609,0,255,128.584,61.7139,0.5,24.5,129.5,255.5,255.5,325,1543,0,255,35.5,82.5,150.5,-38.511,38.1273,-34.625,34.375,3.49475,5161,2052,100,2068
1706671291500197117,23703,23703,9058,14645,0,0,0,13,0.000548454,0,255,128.575,61.2878,0.5,22.5,130.5,255.5,255.5,280,1410,0,255,35.5,80.5,137.5,-38.0697,38.5142,-34.375,34.625,3.36422,5193,2059,100,1977
1706671291600058651,23738,23738,8871,14867,0,0,0,17,0.000716151,0,255,130.095,61.8177,3.5,24.5,131.5,255.5,255.5,232,1477,0,255,35.5,80.5,137.5,-38.5047,38.1333,-34.625,34.375,3.50187,5245,2100,100,1963
1706671291699897653,23737,23737,8838,14899,0,0,0,10,0.000421283,0,255,128.68,61.1069,0.5,23.5,130.5,255.5,255.5,314,1412,0,255,35.5,81.5,150.5,-38.1999,38.4978,-34.375,34.625,3.52205,5287,2091,100,1998
1706671291799730404,23713,23713,8867,14846,0,0,0,17,0.000716906,0,255,129.264,61.6168,0.5,23.5,129.5,255.5,255.5,286,1356,0,255,35.5,81.5,142.5,-38.487,38.2487,-34.375,34.625,3.47696,5319,2110,100,2053
1706671291899567960,23722,23722,8930,14792,0,0,0,14,0.000590169,0,255,128.181,62.4283,0.5,22.5,129.5,255.5,255.5,289,1553,0,255,35.5,81.5,150.5,-38.2965,38.4701,-34.375,34.125,3.38558,5349,2135,100,1989
1706671292000193404,23700,23700,9086,14614,0,0,0,16,0.000675105,0,255,129.502,61.9786,0.5,24.5,131.5,255.5,255.5,265,1541,0,255,35.5,82.5,150.5,-38.4428,38.3341,-34.125,34.125,3.47814,5398,2148,100,1947
1706671292100032580,23734,23734,9094,14640,0,0,0,15,0.000632005,0,255,128.524,62.4653,0.5,23.5,129.5,255.5,255.5,318,1521,0,255,35.5,80.5,150.5,-38.3852,37.6543,-34.125,33.625,3.52798,5437,2141,100,2024
1706671292199851672,23711,23711,9055,14656,0,0,0,0,0,0,255,129.086,61.8135,0.5,23.5,131.5,255.5,255.5,270,1427,0,255,35.5,82.5,150.5,-37.5914,38.4088,-33.625,34.125,4.00621,5490,2114,100,1900
1706671292299695607,23703,23703,8967,14736,0,0,0,15,0.000632831,0,255,128.565,61.1107,0.5,26.5,130.5,255.5,255.5,296,1391,0,255,35.5,79.5,131.5,-38.3686,38.4255,-34.125,34.125,3.31438,5524,2116,100,1846
1706671292399539513,23744,23744,8958,14786,0,0,0,16,0.000673854,0,255,127.612,61.0629,0.5,22.5,129.5,255.5,255.5,300,1301,0,255,34.5,78.5,144.5,-38.4465,38.3253,-34.125,34.625,3.25386,5556,2215,100,1830
1706671292500177255,23760,23760,8972,14788,0,0,0,13,0.000547138,0,255,128.916,61.564,0.5,23.5,131.5,255.5,255.5,276,1415,0,255,35.5,80.5,150.5,-38.2803,38.478,-34.375,34.625,3.21114,5582,2186,100,1933
1706671292600015321,23732,23732,8896,14836,0,0,0,17,0.000716332,0,255,128.975,61.8101,0.5,24.5,129.5,255.5,255.5,337,1455,0,255,35.5,80.5,150.5,-38.4902,38.2275,-34.375,34.625,3.23488,5607,2144,100,1908
1706671292699844803,23732,23732,8868,14864,0,0,0,11,0.000463509,0,255,129.594,62.0162,0.5,25.5,132.5,255.5,255.5,291,1454,0,255,35.5,80.5,138.5,-38.1618,38.5027,-34.375,34.625,3.40576,5629,2137,100,1769
1706671292799682736,23760,23760,8967,14793,0,0,0,17,0.000715488,0,255,129.498,61.7628,0.5,25.5,129.5,255.5,255.5,240,1494,0,255,35.5,82.5,150.5,-38.5063,38.1,-34.625,34.375,3.51137,5655,2150,100,1823
1706671292899529253,23762,23762,8947,14815,0,0,0,11,0.000462924,0,255,127.55,61.3643,0.5,22.5,128.5,255.5,255.5,258,1422,0,255,34.5,81.5,150.5,-38.0963,38.5087,-34.375,34.625,3.63478,5678,2152,100,1817
1706671293000163165,23725,23725,8893,14832,0,0,0,18,0.000758693,0,255,128.925,62.2466,0.5,23.5,129.5,255.5,255.5,261,1458,0,255,35.5,82.5,147.5,-38.5089,38.1717,-34.375,34.375,3.18622,5700,2183,100,1902
1706671293100002218,23726,23726,8913,14813,0,0,0,12,0.000505774,0,255,128.913,62.5191,0.5,23.5,129.5,255.5,255.5,326,1582,0,255,35.5,81.5,150.5,-38.2278,38.4925,-34.375,34.125,3.30489,5724,2196,100,1939
1706671293199844808,23707,23707,9005,14702,0,0,0,17,0.000717088,0,255,128.979,62.2224,0.5,22.5,131.5,255.5,255.5,349,1478,0,255,35.5,82.5,150.5,-38.4749,38.2813,-34.125,33.875,3.39982,5750,2222,100,1772
1706671293299695621,23729,23729,9113,14616,0,0,0,14,0.000589995,0,255,128.892,62.5759,0.5,21.5,130.5,255.5,255.5,280,1421,0,255,35.5,80.5,150.5,-38.3282,37.7731,-33.875,33.875,3.3666,5770,2189,100,1886
1706671293399543388,23706,23706,9114,14592,0,0,0,0,0,0,255,129.173,61.1813,0.5,23.5,131.5,255.5,255.5,291,1380,0,255,35.5,80.5,145.5,-37.6741,38.4503,-33.625,34.125,3.53866,5786,2192,100,1791
1706671293500166370,23734,23734,8956,14778,0,0,0,16,0.000674138,0,255,128.461,62.1949,0.5,23.5,129.5,255.5,255.5,322,1390,0,255,35.5,80.5,150.5,-38.4187,38.3674,-34.125,34.125,3.54697,5804,2151,100,1768
1706671293599994363,23743,23743,8908,14835,0,0,0,16,0.000673883,0,255,128.089,61.7757,0.5,22.5,129.5,255.5,255.5,333,1367,0,255,34.5,78.5,136.5,-38.3993,38.3929,-34.125,34.625,3.687,5825,2273,100,1714
1706671293699828247,23753,23753,8900,14853,0,0,0,15,0.000631499,0,255,128.845,61.8857,0.5,23.5,129.5,255.5,255.5,304,1505,0,255,35.5,81.5,150.5,-38.3552,38.4336,-34.375,34.625,3.75226,5839,2200,100,1790
