stamp,input_points,valid_points,unique_pixels,collisions,invalid,horizontal_boundary_adjusted,vertical_top_clamped,vertical_bottom_clamped,vertical_clamped_ratio,filtered_min,filtered_max,filtered_mean,filtered_std,filtered_p01,filtered_p05,filtered_p50,filtered_p95,filtered_p99,filtered_sat0,filtered_sat255,raw_min,raw_max,raw_p50,raw_p95,raw_p99,elev_min_deg,elev_max_deg,elev_p01_deg,elev_p99_deg,intensity_preprocess_ms,intensity_map_voxels,observed_voxels,selected_intensity_voxels,selected_intensity_points
1706673228620220729,23649,23649,9007,14642,0,0,0,18,0.000761132,0,255,133.221,38.3917,22.5,68.5,132.5,198.5,255.5,41,241,0,255,28.5,45.5,57.5,-38.5044,38.1438,-34.125,34.375,3.12007,3560,1121,100,1937
1706673228720064482,23677,23677,8944,14733,0,0,0,11,0.000464586,0,255,133.991,37.9854,24.5,72.5,133.5,198.5,255.5,6,246,0,255,28.5,46.5,59.5,-38.206,38.4927,-34.125,34.625,3.24478,3927,1595,100,2053
1706673228819920462,23683,23683,8908,14775,0,0,0,17,0.000717814,0,255,133.741,37.4793,26.5,71.5,133.5,196.5,245.5,41,194,0,180,28.5,45.5,58.5,-38.482,38.2571,-34.625,34.625,3.27803,4200,1844,100,2110
1706673228919778784,23689,23689,8989,14700,0,0,0,13,0.000548778,0,255,133.546,38.4457,25.5,73.5,132.5,200.5,255.5,41,240,0,255,28.5,46.5,59.5,-38.3099,38.4613,-34.625,34.625,3.52507,4413,2017,100,2117
1706673229019613246,23705,23705,8989,14716,0,0,0,16,0.000674963,0,255,133.191,37.9368,25.5,71.5,133.5,197.5,255.5,21,251,0,255,28.5,46.5,60.5,-38.4284,38.3595,-34.625,34.625,3.60703,4551,2182,100,2125
1706673229119840599,23701,23701,8905,14796,0,0,0,16,0.000675077,0,255,133.911,39.0564,22.5,71.5,133.5,198.5,255.5,35,263,0,255,28.5,46.5,58.5,-38.3895,38.3981,-34.625,34.625,3.47044,4662,2276,100,2102
1706673229219665721,23700,23700,9009,14691,0,0,0,15,0.000632911,0,255,133.465,37.6906,25.5,71.5,133.5,195.5,255.5,22,253,0,255,28.5,45.5,59.5,-38.3595,38.4272,-34.375,34.625,3.45619,4791,2343,100,2077
1706673229319519067,23697,23697,9013,14684,0,0,0,16,0.000675191,0,255,132.661,38.8955,23.5,67.5,132.5,195.5,255.5,66,275,0,255,28.5,45.5,59.5,-38.4468,38.3171,-34.875,34.375,3.6284,4893,2405,100,2087
1706673229420162148,23690,23690,9031,14659,0,0,0,13,0.000548755,0,255,133.866,37.9273,25.5,72.5,133.5,197.5,254.5,9,200,0,255,28.5,46.5,58.5,-38.2761,38.4817,-34.375,34.125,3.56546,4979,2464,100,2043
1706673229520003900,23647,23647,9012,14635,0,0,0,17,0.000718907,0,255,132.963,37.7572,25.5,69.5,132.5,192.5,255.5,51,253,0,255,28.5,46.5,58.5,-38.4961,37.8674,-34.125,33.875,3.57496,5062,2532,100,2034
1706673229619830604,23683,23683,9127,14556,0,0,0,0,0,0,255,133.549,38.6647,21.5,69.5,133.5,197.5,255.5,19,259,0,255,28.5,46.5,58.5,-37.9496,38.2239,-33.875,34.125,3.4455,5139,2504,100,1974
1706673229719669829,23679,23679,9115,14564,0,0,0,9,0.000380084,0,255,132.429,39.0089,23.5,64.5,132.5,198.5,255.5,36,273,0,255,28.5,46.5,60.5,-38.1693,38.5098,-34.125,34.125,3.36711,5201,2561,100,1971
1706673229819522076,23693,23693,9065,14628,0,0,0,17,0.000717512,0,255,132.842,37.4315,23.5,72.5,132.5,194.5,250.5,17,204,0,255,28.5,45.5,57.5,-38.5222,38.0913,-34.125,34.375,3.36474,5259,2543,100,1843
1706673229920151639,23661,23661,8955,14706,0,0,0,12,0.000507164,0,255,134.391,39.0342,22.5,71.5,133.5,201.5,251.5,61,229,0,255,28.5,46.5,57.5,-38.0957,38.5115,-34.375,34.625,3.34336,5307,2592,100,1791
1706673230019994931,23683,23683,8881,14802,0,0,0,18,0.000760039,0,255,133.376,37.9541,25.5,70.5,133.5,197.5,248.5,53,199,0,176,28.5,45.5,57.5,-38.4974,38.1569,-34.625,34.375,3.31842,5361,2604,100,1773
1706673230119829301,23681,23681,8869,14812,0,0,0,12,0.000506735,0,255,133.331,37.0735,28.5,72.5,132.5,196.5,255.5,14,268,0,255,28.5,46.5,59.5,-38.2133,38.4973,-34.625,34.625,3.34336,5394,2594,100,1721
