stamp,candidates,valid_matches,immature_matches,match_ratio,r_abs_p50,r_abs_p75,r_abs_p90,r_abs_p95,r_abs_max,r_signed_median,grad_p50,grad_p75,grad_p90,grad_p95,J_norm_p50,J_norm_p90,J_norm_p99,J_norm_max,Jdof_p90_rx,Jdof_p90_ry,Jdof_p90_rz,Jdof_p90_tx,Jdof_p90_ty,Jdof_p90_tz,H_geo_fro,H_photo_fro,H_photo_trace,b_geo_norm,b_photo_norm,R_H_unscaled,R_b_unscaled,R_H_scaled,lambda_ref,eig1,eig2,eig3,eig4,eig5,eig6,photo_step_t_mm,photo_step_r_deg,lm_iterations,lm_accepted,lm_rejected,reject_rate,lm_initial_cost,lm_final_cost,geo_cost,photo_cost,pose_delta_t_m,pose_delta_r_deg,photo_effective_residuals,fd_samples,fd_median_rel_err,fd_p95_rel_err,fd_done,photometric_scale,fd_level_a_samples,fd_level_a_median,fd_level_a_p95,fd_level_a_sign,fd_level_b_points,fd_level_b_scalars,fd_level_b_median,fd_level_b_p95,fd_level_b_sign,fd_b_rx_med,fd_b_rx_p95,fd_b_ry_med,fd_b_ry_p95,fd_b_rz_med,fd_b_rz_p95,fd_b_tx_med,fd_b_tx_p95,fd_b_ty_med,fd_b_ty_p95,fd_b_tz_med,fd_b_tz_p95,fd_b_analytic_p50,fd_b_analytic_p90,fd_b_analytic_p99,fd_b_numeric_p50,fd_b_numeric_p90,fd_b_numeric_p99,fd_c_voxel_switch,fd_c_cell_switch,fd_c_validity_switch,fd_c_noswitch_samples,fd_c_noswitch_median,fd_c_noswitch_p95,photo_near_fraction,photo_near_r_p50,photo_near_r_p90,photo_far_r_p50,photo_far_r_p90,geo_lambda1,geo_lambda2,geo_lambda3,geo_two_weak_flag,eta_world_x,eta_world_y,eta_world_z,eta_abs_dot_prev,eta_angle_prev_deg,weak_subspace_diff_F,selected_voxel_jaccard,selected_voxel_retention,selected_score_p10,selected_score_p50,selected_score_p90,selected_score_max,candidate_score_p50,candidate_score_p90,candidate_score_p99,q_geo_v1,q_geo_v2,q_photo_v1,q_photo_v2,s_geo_v1,s_geo_v2,s_photo_v1,s_photo_v2,parity_count_serial,parity_count_parallel,parity_cost_rel,parity_H_rel,parity_b_rel,source_near_fraction,photo_near_r_p95,photo_far_r_p95,photo_near_inlier_fraction,photo_far_inlier_fraction,photo_near_grad_p50,photo_near_grad_p90,photo_far_grad_p50,photo_far_grad_p90,photo_near_J_p50,photo_near_J_p90,photo_far_J_p50,photo_far_J_p90,photo_near_H_fraction
1706673228620220729,1937,186,1353,0.0960248,25.746,47.2493,77.6635,95.064,222.738,-1.60756,574.387,1005.16,1484.69,1943.6,1397.41,3965.89,7514.39,9968.05,1534.74,1782.96,2566.65,973.134,860.764,699.6,145587,722.667,1045.67,1.59091,1.36447,0,0,0.0049638,0,1.34211,5.39196,34.1855,58.761,285.712,660.275,0,0,3,3,10,0.769231,1,0.637899,0.637899,0.207883,0.0269477,0.175459,186,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.746,77.6635,4.09558,462.173,654.732,0,0.995867,-0.0872822,-0.0251057,1,0,0,0,0,122.959,270.886,811.615,1328.26,0.00487436,79.3354,788.101,41.6914,1129.85,67.5832,22.4882,0.0721684,0.0569516,0.801574,0.0309329,0,0,0,0,0,0,0,95.064,0,0.956989,0,0,574.387,1484.69,0,0,1397.41,3965.89,0
1706673228720064482,2053,335,1634,0.163176,24.1833,46.1937,69.8754,101.654,216.367,-6.94267,515.996,988.879,1521.14,2031.25,1396.49,4279.28,6956.31,11186.1,1628.1,2008.66,3047.84,878.672,1140.76,621.603,247680,1560.24,2181.58,0.631336,2.38041,0,0,0.00629942,0,3.27959,8.12757,63.8554,106.601,541.928,1457.79,0,0,2,2,7,0.777778,1,0.703312,0.703312,0.361173,0.00260442,0.0326885,335,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.1833,69.8754,6.21822,687.524,901.257,0,0.995618,-0.0886141,-0.0298649,0.999988,0.283518,0.0365242,0.694915,0.82,274.11,584.603,1360.33,2197.05,4.02096,142.255,1124.8,59.6927,1424.81,123.139,34.2771,-0.109098,0.0576407,-0.417553,-0.296887,0,0,0,0,0,0,0,101.654,0,0.949254,0,0,515.996,1521.14,0,0,1396.49,4279.28,0
1706673228819920462,2110,461,1605,0.218483,23.3905,44.112,64.4783,90.7891,225.499,-1.09448,503.728,867.579,1323.81,1685.87,1285.41,3968.64,7058.93,9155.19,1551.85,1965.58,2909.05,809.042,872.971,577.446,295540,1785.97,2576.63,0.040876,5.79081,0,0,0.00604307,0,4.31356,11.2023,107.371,121.425,695.302,1637.02,0,0,5,5,11,0.6875,1,0.618057,0.618057,0.460667,0.00682886,0.124351,461,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.3905,64.4783,6.12238,802.875,1035,0,0.995229,-0.0921597,-0.0320342,0.999991,0.239199,0.0344693,0.851852,0.92,407.455,753.715,1470.14,2149.84,10.0798,188.862,1309.75,44.5967,1513.81,134.487,44.7285,0.0391889,0.00618147,-0.166598,-0.122302,0,0,0,0,0,0,0,90.7891,0,0.956616,0,0,503.728,1323.81,0,0,1285.41,3968.64,0
1706673228919778784,2117,577,1519,0.272556,26.6241,45.7736,65.7475,80.6765,222.344,-7.718,472.981,842.385,1348.55,1717.89,1296.91,4256.1,6981.39,12783.4,1609.98,1910.45,3079.53,796.903,913.082,542.452,329442,2498.66,3610.26,10.4803,3.16926,0,0,0.00758452,0,8.05929,18.0697,144.915,152.888,1011.29,2275.05,0,0,2,1,10,0.909091,1,0.545736,0.545736,0.529974,2.5275e-05,0.00559203,577,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.6241,65.7475,5.79659,880.646,1130.56,0,0.995231,-0.0923444,-0.0314232,1,0.0365736,0.0571553,0.886792,0.94,507.23,824.224,1546.03,2322.11,15.4543,227.83,1357.59,42.4918,1608.88,152.134,65.3512,-0.348198,1.8155,0.309943,0.125034,0,0,0,0,0,0,0,80.6765,0,0.968804,0,0,472.981,1348.55,0,0,1296.91,4256.1,0
1706673229019613246,2125,723,1393,0.340235,25.0462,42.8208,67.0335,83.799,210.695,-4.21606,461.095,826.901,1344.65,1732.47,1444.56,4086.45,7305.31,10085.8,1625.41,1995.87,2897.17,883.593,842.624,522.375,391111,3044.34,4392.85,0.881044,5.97956,0,0,0.00778382,0,8.56137,25.2955,167.383,229.018,1164.06,2798.53,0,0,2,2,7,0.777778,1,0.672947,0.672947,0.619563,0.00248011,0.0115105,723,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.0462,67.0335,8.11079,971.122,1202.77,0,0.995454,-0.0903616,-0.030102,0.999997,0.13711,0.140457,0.886792,0.94,549.722,967.465,1563.16,2396.21,22.4083,258.118,1292.99,47.661,1719.05,203.12,64.514,-0.0713293,-0.0699694,-0.135641,-0.113632,0,0,0,0,0,0,0,83.799,0,0.968188,0,0,461.095,1344.65,0,0,1444.56,4086.45,0
1706673229119840599,2102,787,1297,0.374405,29.0809,47.6494,67.1785,83.4601,213.643,-7.36794,455.558,765.131,1215.74,1519.36,1423.36,3992.37,9150.83,14755.5,1544.49,1933,3061.47,730.599,868.186,499.314,450067,3846.75,5434.49,15.2183,3.77219,0,0,0.00854705,0,8.10105,25.9107,164.542,269.462,1396.02,3570.46,0,0,1,0,8,1,1,0.688993,0.688993,0.759465,0,0,787,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.0809,67.1785,8.34294,1025.82,1241.84,0,0.995258,-0.0926738,-0.0295456,0.999997,0.136722,0.10631,0.923077,0.96,596.054,940.574,1623.98,2331.67,27.3602,292.172,1247.22,49.8902,1729.01,184.483,79.8552,-0.627693,-0.436881,0.401401,0.450024,0,0,0,0,0,0,0,83.4601,0,0.977128,0,0,455.558,1215.74,0,0,1423.36,3992.37,0
1706673229219665721,2077,930,1141,0.447761,27.9519,48.6476,67.5955,83.4675,213.448,-5.72865,433.03,742.22,1214.07,1580.81,1396.6,3860.34,7871.32,14408.8,1462.42,1978.88,2896.13,716.725,790.34,502.789,481698,4008.93,5652.46,0.625313,7.35629,0,0,0.00832249,0,9.18752,23.1988,156.487,274.381,1474.96,3714.24,0,0,4,3,12,0.8,1,0.772981,0.772981,0.912174,0.0242076,0.0148537,930,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.9519,67.5955,6.81459,1075.06,1261.13,0,0.995376,-0.0910865,-0.0305055,0.999998,0.106494,0.120238,0.869159,0.93,606.236,927.033,1677.33,2133.11,35.9452,330.497,1222.07,48.6505,1762.29,187.14,88.9125,-0.194718,0.238066,0.774862,-0.347465,0,0,0,0,0,0,0,83.4675,0,0.972043,0,0,433.03,1214.07,0,0,1396.6,3860.34,0
1706673229319519067,2087,971,1102,0.465261,28.2868,47.2209,67.8211,81.326,200.985,-8.84459,423.167,707.756,1081.16,1426.43,1341.5,3725.81,7075.82,14487.5,1401.85,1817.82,2732.29,677.947,769.921,461.977,503128,3770.67,5239.74,0.161592,8.26506,0,0,0.00749447,0,8.42688,18.7213,158.177,218.658,1310.52,3525.23,0,0,7,7,12,0.631579,1,0.682181,0.682181,0.907751,0.0171384,0.107799,971,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.2868,67.8211,8.29317,1090.79,1305.91,0,0.995427,-0.0911968,-0.0284244,0.999998,0.119443,0.0726521,0.923077,0.96,606.611,952.712,1559.12,2123.57,42.0618,346.976,1202.16,46.6339,1884.23,175.789,78.33,0.159127,0.020118,1.30181,-0.175556,0,0,0,0,0,0,0,81.326,0,0.974253,0,0,423.167,1081.16,0,0,1341.5,3725.81,0
1706673229420162148,2043,1064,972,0.520803,30.4154,48.0007,69.9265,86.8133,217.103,-5.1605,425.104,724.555,1196.69,1567,1371.16,4083.5,8668.92,17006.4,1416.31,2051.64,3181.45,631.628,891.863,502.591,574999,5426,7237.27,2.25607,2.98759,0,0,0.00943654,0,7.07355,25.5581,175.807,254.947,1597.78,5176.1,0,0,3,2,10,0.833333,1,0.707434,0.707434,1.07127,0.00101991,0.101591,1064,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.4154,69.9265,8.96371,1109.19,1345.85,0,0.995489,-0.0901777,-0.0294863,0.999999,0.0844038,0.078518,0.818182,0.9,657.789,938.73,1558.29,2422.16,51.6037,365.029,1245.27,39.5931,1891.4,177.445,92.4309,0.242175,-0.129716,0.955862,0.2325,0,0,0,0,0,0,0,86.8133,0,0.967105,0,0,425.104,1196.69,0,0,1371.16,4083.5,0
1706673229520003900,2034,1114,912,0.547689,30.989,49.7045,68.5041,85.5725,214.433,-6.55537,416.108,706.391,1130.88,1450.57,1321.38,3911.83,9012.12,16550.8,1344.03,1904.27,2957.07,658.174,792.406,464.064,612387,5218.19,7188.95,0.758995,5.69005,0,0,0.00852108,0,7.94801,26.0579,186.996,288.141,1790.56,4889.24,0,0,3,3,10,0.769231,1,0.650285,0.650285,1.10591,0.000765074,0.0231823,1114,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.989,68.5041,8.6485,1147.43,1375.92,0,0.995555,-0.0889127,-0.0310643,0.999998,0.115938,0.233937,0.869159,0.93,678.749,909.787,1544.7,2364.08,55.7163,386.901,1188.03,47.1229,1933.58,215.972,87.9072,0.609129,-0.00185877,2.02161,0.0253755,0,0,0,0,0,0,0,85.5725,0,0.970377,0,0,416.108,1130.88,0,0,1321.38,3911.83,0
