stamp,input_points,valid_points,unique_pixels,collisions,invalid,horizontal_boundary_adjusted,vertical_top_clamped,vertical_bottom_clamped,vertical_clamped_ratio,filtered_min,filtered_max,filtered_mean,filtered_std,filtered_p01,filtered_p05,filtered_p50,filtered_p95,filtered_p99,filtered_sat0,filtered_sat255,raw_min,raw_max,raw_p50,raw_p95,raw_p99,elev_min_deg,elev_max_deg,elev_p01_deg,elev_p99_deg,intensity_preprocess_ms,intensity_map_voxels,observed_voxels,selected_intensity_voxels,selected_intensity_points
1706674806149900729,23749,23749,9035,14714,0,0,0,17,0.00071582,0,255,133.503,37.1649,24.5,71.5,133.5,194.5,248.5,52,196,0,255,26.5,44.5,55.5,-38.4578,38.3105,-34.125,34.125,3.25966,3324,1089,100,1913
1706674806249737817,23716,23716,9049,14667,0,0,0,15,0.000632484,0,255,132.756,36.5557,26.5,73.5,133.5,192.5,253.5,51,236,0,255,26.5,44.5,55.5,-38.3608,37.71,-34.125,33.875,3.01868,3717,1568,100,2010
1706674806349578039,23731,23731,9085,14646,0,0,0,0,0,0,255,132.485,37.022,26.5,72.5,131.5,192.5,254.5,36,233,0,255,26.5,44.5,57.5,-37.6072,38.4305,-33.625,35.125,3.17775,3980,1757,100,2066
1706674806450217207,23708,23708,9032,14676,0,0,0,15,0.000632698,0,255,132.312,37.0909,26.5,69.5,132.5,193.5,250.5,42,231,0,255,26.5,44.5,55.5,-38.4033,37.6146,-34.125,33.625,3.23354,4206,1901,100,2107
1706674806550055071,23722,23722,9020,14702,0,0,0,16,0.000674479,0,255,132.75,36.8256,24.5,73.5,133.5,192.5,246.5,40,191,0,255,26.5,44.5,54.5,-38.4337,38.3541,-34.125,34.125,3.16232,4395,2026,100,2008
1706674806649881529,23738,23738,9132,14606,0,0,0,13,0.000547645,0,255,132.839,37.3543,27.5,73.5,132.5,195.5,255.5,49,331,0,255,26.5,44.5,55.5,-38.3004,38.4675,-34.625,34.125,3.29764,4534,2068,100,2087
1706674806749731301,23737,23737,8975,14762,0,0,0,17,0.000716181,0,255,133.321,36.6122,30.5,75.5,133.5,196.5,245.5,17,197,0,244,26.5,44.5,55.5,-38.495,38.2529,-34.625,34.625,3.28221,4646,2152,100,1992
1706674806849559483,23760,23760,8863,14897,0,0,0,11,0.000462963,0,255,132.39,37.6115,27.5,72.5,131.5,191.5,250.5,39,222,0,226,26.5,43.5,54.5,-38.1976,38.4983,-34.375,34.625,3.37836,4744,2195,100,2036
1706674806950188547,23712,23712,8822,14890,0,0,0,18,0.000759109,0,255,133.544,36.6248,28.5,70.5,134.5,194.5,251.5,29,224,0,255,26.5,44.5,56.5,-38.512,38.1452,-34.625,34.375,3.40804,4840,2275,100,1838
1706674807050028578,23757,23757,8970,14787,0,0,0,13,0.000547207,0,255,133.573,36.3311,28.5,73.5,133.5,192.5,249.5,60,188,0,255,26.5,43.5,53.5,-38.0502,38.5134,-34.625,34.625,3.503,4918,2323,100,1845
1706674807149865248,23764,23764,8981,14783,0,0,0,18,0.000757448,0,255,133.101,36.3014,27.5,72.5,133.5,193.5,236.5,35,173,0,255,26.5,44.5,55.5,-38.5207,38.122,-34.625,34.375,3.37599,4989,2329,100,1791
1706674807249696290,23748,23748,9100,14648,0,0,0,11,0.000463197,0,255,133.522,36.2865,27.5,74.5,133.5,193.5,243.5,33,180,0,255,26.5,43.5,54.5,-38.1852,38.4997,-34.625,34.125,3.39854,5055,2392,100,1820
1706674807349526517,23748,23748,9056,14692,0,0,0,17,0.00071585,0,255,133.064,36.8668,25.5,74.5,132.5,193.5,250.5,29,218,0,255,26.5,44.5,57.5,-38.4833,38.2426,-34.125,33.875,3.41991,5130,2383,100,1786
1706674807450163430,23737,23737,9038,14699,0,0,0,13,0.000547668,0,255,132.516,36.3207,27.5,73.5,132.5,192.5,248.5,16,219,0,255,26.5,44.5,55.5,-38.3011,37.8299,-34.125,33.875,3.44128,5189,2433,100,1703
1706674807550004205,23725,23725,9091,14634,0,0,0,0,0,0,255,133.336,37.1845,26.5,73.5,132.5,195.5,255.5,14,249,0,255,26.5,44.5,56.5,-37.741,38.4675,-33.875,34.375,3.53269,5238,2419,100,1735
1706674807649852423,23717,23717,9063,14654,0,0,0,16,0.000674622,0,255,131.657,37.1567,24.5,71.5,131.5,191.5,255.5,66,275,0,255,26.5,43.5,55.5,-38.4267,38.3488,-34.125,34.875,3.6229,5282,2448,100,1677
1706674807749686818,23734,23734,8986,14748,0,0,0,15,0.000632005,0,255,133.279,36.4626,26.5,73.5,133.5,193.5,248.5,13,191,0,255,26.5,43.5,54.5,-38.3859,38.408,-34.125,34.125,3.47215,5332,2469,100,1622
1706674807849531992,23745,23745,8953,14792,0,0,0,15,0.000631712,0,255,132.222,36.2989,27.5,74.5,132.5,190.5,250.5,67,227,0,255,26.5,44.5,55.5,-38.3825,38.4221,-34.625,34.125,3.55287,5369,2451,100,1559
1706674807950165290,23734,23734,9031,14703,0,0,0,16,0.000674138,0,255,132.043,36.3095,27.5,72.5,132.5,190.5,253.5,36,229,0,255,26.5,43.5,56.5,-38.4466,38.3377,-34.625,34.625,3.37006,5389,2472,100,1527
1706674808049992954,23768,23768,8938,14830,0,0,0,13,0.000546954,0,255,133.126,37.4854,29.5,73.5,132.5,194.5,254.5,57,231,0,255,26.5,44.5,55.5,-38.302,38.4659,-34.625,34.625,3.41517,5428,2451,100,1512
1706674808149826625,23763,23763,8849,14914,0,0,0,17,0.000715398,0,255,133.568,36.6017,29.5,73.5,133.5,195.5,242.5,21,206,0,255,26.5,44.5,55.5,-38.4841,38.2492,-34.625,34.625,3.70718,5460,2485,100,1477
1706674808249659989,23754,23754,8863,14891,0,0,0,10,0.000420982,0,255,132.716,36.5526,25.5,74.5,132.5,193.5,248.5,27,201,0,253,26.5,44.5,55.5,-38.2016,38.4972,-34.375,34.625,3.61222,5489,2549,100,1451
1706674808349894856,23751,23751,8962,14789,0,0,0,17,0.000715759,0,255,133.585,37.275,26.5,71.5,133.5,196.5,255.5,38,242,0,255,26.5,44.5,56.5,-38.5122,38.1314,-34.625,34.375,3.54218,5514,2517,100,1438
1706674808449738346,23755,23755,9082,14673,0,0,0,12,0.000505157,0,255,132.793,36.4627,25.5,75.5,133.5,190.5,247.5,22,188,0,255,26.5,43.5,54.5,-38.0721,38.5105,-34.375,34.125,3.47333,5538,2539,100,1358
1706674808549572023,23736,23736,9115,14621,0,0,0,17,0.000716212,0,255,133.378,36.7024,25.5,74.5,133.5,194.5,246.5,53,196,0,255,26.5,44.5,55.5,-38.5113,38.1346,-34.125,34.125,3.43653,5566,2528,100,1450
1706674808650206081,23719,23719,9013,14706,0,0,0,11,0.000463763,0,255,132.706,36.5914,28.5,73.5,132.5,192.5,248.5,11,206,0,255,26.5,44.5,55.5,-38.197,37.9845,-33.875,34.125,3.29409,5594,2561,100,1381
1706674808750031413,23743,23743,9024,14719,0,0,0,0,0,0,255,132.712,37.2732,26.5,71.5,132.5,193.5,255.5,8,253,0,255,26.5,44.5,56.5,-37.9195,38.5017,-33.875,34.125,3.37718,5636,2553,100,1386
