stamp,candidates,valid_matches,immature_matches,match_ratio,r_abs_p50,r_abs_p75,r_abs_p90,r_abs_p95,r_abs_max,r_signed_median,grad_p50,grad_p75,grad_p90,grad_p95,J_norm_p50,J_norm_p90,J_norm_p99,J_norm_max,Jdof_p90_rx,Jdof_p90_ry,Jdof_p90_rz,Jdof_p90_tx,Jdof_p90_ty,Jdof_p90_tz,H_geo_fro,H_photo_fro,H_photo_trace,b_geo_norm,b_photo_norm,R_H_unscaled,R_b_unscaled,R_H_scaled,lambda_ref,eig1,eig2,eig3,eig4,eig5,eig6,photo_step_t_mm,photo_step_r_deg,lm_iterations,lm_accepted,lm_rejected,reject_rate,lm_initial_cost,lm_final_cost,geo_cost,photo_cost,pose_delta_t_m,pose_delta_r_deg,photo_effective_residuals,fd_samples,fd_median_rel_err,fd_p95_rel_err,fd_done,photometric_scale,fd_level_a_samples,fd_level_a_median,fd_level_a_p95,fd_level_a_sign,fd_level_b_points,fd_level_b_scalars,fd_level_b_median,fd_level_b_p95,fd_level_b_sign,fd_b_rx_med,fd_b_rx_p95,fd_b_ry_med,fd_b_ry_p95,fd_b_rz_med,fd_b_rz_p95,fd_b_tx_med,fd_b_tx_p95,fd_b_ty_med,fd_b_ty_p95,fd_b_tz_med,fd_b_tz_p95,fd_b_analytic_p50,fd_b_analytic_p90,fd_b_analytic_p99,fd_b_numeric_p50,fd_b_numeric_p90,fd_b_numeric_p99,fd_c_voxel_switch,fd_c_cell_switch,fd_c_validity_switch,fd_c_noswitch_samples,fd_c_noswitch_median,fd_c_noswitch_p95,photo_near_fraction,photo_near_r_p50,photo_near_r_p90,photo_far_r_p50,photo_far_r_p90,geo_lambda1,geo_lambda2,geo_lambda3,geo_two_weak_flag,eta_world_x,eta_world_y,eta_world_z,eta_abs_dot_prev,eta_angle_prev_deg,weak_subspace_diff_F,selected_voxel_jaccard,selected_voxel_retention,selected_score_p10,selected_score_p50,selected_score_p90,selected_score_max,candidate_score_p50,candidate_score_p90,candidate_score_p99,q_geo_v1,q_geo_v2,q_photo_v1,q_photo_v2,s_geo_v1,s_geo_v2,s_photo_v1,s_photo_v2,parity_count_serial,parity_count_parallel,parity_cost_rel,parity_H_rel,parity_b_rel,source_near_fraction,photo_near_r_p95,photo_far_r_p95,photo_near_inlier_fraction,photo_far_inlier_fraction,photo_near_grad_p50,photo_near_grad_p90,photo_far_grad_p50,photo_far_grad_p90,photo_near_J_p50,photo_near_J_p90,photo_far_J_p50,photo_far_J_p90,photo_near_H_fraction
1706674806149900729,1913,191,1344,0.0998432,26.4447,48.4711,72.8867,87.7502,173.233,-7.13748,553.956,921.015,1387.16,1740.6,1264.37,3643.88,8933.01,33513.4,1550.38,1370.17,2864.96,943.487,924.678,487.086,161246,1919.96,2291.61,12.3312,1.7135,0,0,0.011907,0,0.469821,2.42565,20.7507,46.6109,330.793,1890.56,0,0,1,0,9,1,1,0.663651,0.663651,0.187358,0,0,191,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.4447,72.8867,3.28901,471.461,614.25,0,0.993445,-0.111245,-0.0263118,1,0,0,0,0,117.789,247.842,865.117,1501.52,0.142028,81.1447,807.669,42.9097,1128.7,128.298,14.6666,-0.276839,0.797463,-0.075328,0.0737999,0,0,0,0,0,0,0,87.7502,0,0.968586,0,0,553.956,1387.16,0,0,1264.37,3643.88,0
1706674806249737817,2010,326,1582,0.162189,28.5178,45.6769,70.3102,92.8696,184.585,-6.97704,587.191,1012.86,1485.8,1804.99,1508.25,4237.29,8352.33,9870.47,1609.17,1729.51,3221.81,829.281,1179.44,585.165,195798,1613.27,2152.95,0.317634,4.00285,0,0,0.00823948,0,1.62789,6.81967,42.9145,92.8156,468.392,1540.38,0,0,5,5,11,0.6875,1,0.592374,0.592374,0.306755,0.0025829,0.00435834,326,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.5178,70.3102,3.07394,715.97,848.956,0,0.99308,-0.114069,-0.0279504,0.999995,0.188265,0.289262,0.652893,0.79,254.322,486.174,1245.52,1851.76,5.18706,138.843,1155.18,45.1873,1451.97,97.8997,34.7401,0.220411,-0.0058129,-1.14476,-0.48678,0,0,0,0,0,0,0,92.8696,0,0.957055,0,0,587.191,1485.8,0,0,1508.25,4237.29,0
1706674806349578039,2066,469,1532,0.227009,23.0907,42.2978,67.4686,81.9962,220.727,-5.01112,481.219,826.965,1306.49,1616.65,1352.81,3911.62,7306.02,12537.5,1453.14,1694.37,2935.99,779.215,868.107,516.13,242265,1980.85,2696.2,0.698093,5.10997,0,0,0.00817635,0,3.94982,11.1927,82.0658,131.325,580.02,1887.64,0,0,4,3,12,0.8,1,0.651433,0.651433,0.390853,0.00237324,0.031158,469,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.0907,67.4686,5.95205,801.505,949.543,0,0.992957,-0.114526,-0.0303255,0.999997,0.138751,0.0415246,0.769912,0.87,355.462,715.791,1461.95,1835.74,12.0628,192.366,1188.69,49.6028,1650.68,114.071,46.2258,-0.597038,-0.203834,0.12292,0.42432,0,0,0,0,0,0,0,81.9962,0,0.976546,0,0,481.219,1306.49,0,0,1352.81,3911.62,0
1706674806450217207,2107,587,1497,0.278595,27.5437,45.221,65.0953,81.2445,174.063,-6.62511,509.963,871.058,1336.72,1620.16,1449.25,4273.17,7663.74,16071.4,1564.3,1794.06,3097.94,775.129,955.22,533.003,302020,2816.32,3969.62,0.691312,2.1923,0,0,0.00932495,0,6.56468,14.4728,132.642,213.568,970.621,2631.75,0,0,4,4,12,0.75,1,0.732061,0.732061,0.513917,0.00247891,0.0357987,587,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.5437,65.0953,4.73923,870.192,1026.07,0,0.992868,-0.115043,-0.0312902,0.999999,0.0629147,0.0404532,0.818182,0.9,415.128,808.837,1463.68,1802.9,19.7773,240.633,1276.49,46.7911,1634.28,136.965,67.689,-0.545309,0.222503,0.179845,0.0840395,0,0,0,0,0,0,0,81.2445,0,0.974446,0,0,509.963,1336.72,0,0,1449.25,4273.17,0
1706674806550055071,2008,691,1298,0.344124,25.6445,43.0182,63.4135,77.0247,181.35,-5.81938,460.598,787.826,1247.31,1512.97,1302.36,3924.46,7541.61,10407.4,1343.75,1890.87,2873,759.996,870.713,531.902,319417,2883.53,3959.32,0.890633,5.60445,0,0,0.00902748,0,6.93662,14.3134,135.413,154.978,924.02,2723.66,0,0,3,2,11,0.846154,1,0.561913,0.561913,0.550015,0.0115562,0.0172984,691,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.6445,63.4135,4.31528,915.909,1105.78,0,0.993103,-0.11294,-0.0314828,0.999998,0.121738,0.0382734,0.851852,0.92,481.895,815.375,1528.18,1960.47,28.5712,275.428,1254.05,37.1057,1653.2,150.826,63.1682,-0.277857,0.0672595,-0.277632,0.737186,0,0,0,0,0,0,0,77.0247,0,0.984081,0,0,460.598,1247.31,0,0,1302.36,3924.46,0
1706674806649881529,2087,810,1270,0.388117,28.2836,46.5687,67.4021,90.575,204.828,-6.0361,467.613,756.114,1194.97,1514.21,1382.19,4013.1,8255.12,22624.5,1318.52,1848.07,2826.75,707.528,874.121,463.514,347684,3948.36,5282.93,1.10825,3.18268,0,0,0.0113562,0,7.98484,19.3754,162.418,169.835,1155.06,3768.25,0,0,4,3,8,0.727273,1,0.594154,0.594154,0.759142,0.00238416,0.0848534,810,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.2836,67.4021,4.42991,915.782,1147.79,0,0.993137,-0.112634,-0.031502,1,0.0176949,0.0879583,0.834862,0.91,536.358,856.303,1459.46,2044.44,33.3618,308.562,1227.52,38.7469,1596.22,172.95,79.0742,0.00880839,0.0100216,1.03026,0.00906116,0,0,0,0,0,0,0,90.575,0,0.966667,0,0,467.613,1194.97,0,0,1382.19,4013.1,0
1706674806749731301,1992,938,1045,0.470884,27.0544,46.5093,66.405,80.8224,227.706,-6.61688,436.107,713.55,1193.66,1530.74,1342.04,3977.83,7493.81,14056.3,1451.08,1932.7,2907.35,639.129,802.566,506.084,403190,4227.04,5742.55,0.287257,3.42142,0,0,0.010484,0,8.82988,28.7182,169.558,222.233,1301.3,4011.91,0,0,11,11,11,0.5,1,0.658802,0.658802,0.824482,0.0261501,0.122841,938,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.0544,66.405,5.93532,960.325,1185.74,0,0.992958,-0.114087,-0.0319282,0.999999,0.0873893,0.05721,0.869159,0.93,548.575,859.708,1550.53,2127.07,41.3075,341.205,1228.38,39.0811,1632.51,175.648,108.432,0.284886,0.0189459,-0.372805,-0.205377,0,0,0,0,0,0,0,80.8224,0,0.978678,0,0,436.107,1193.66,0,0,1342.04,3977.83,0
1706674806849559483,2036,985,1042,0.483792,30.1495,48.0495,71.0661,84.5823,169.072,-9.22202,440.829,741.797,1142.69,1545.68,1464.01,4201.33,9223.39,16672.7,1425.68,2070.78,3070.23,679.428,800.646,535.426,434617,5406.91,7240.46,1.06853,4.00384,0,0,0.0124407,0,7.2313,24.8118,175.224,272.332,1609.19,5151.67,0,0,3,3,7,0.7,1,0.624339,0.624339,0.954026,0.0160201,0.0336947,985,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.1495,71.0661,4.98088,988.667,1201.35,0,0.993017,-0.113768,-0.0312079,1,0.045273,0.146115,0.886792,0.94,583.025,861.955,1575.58,2194.97,45.6487,364.514,1250.94,33.5063,1553.82,204.85,149.589,-0.0451585,-0.098512,0.185799,0.838951,0,0,0,0,0,0,0,84.5823,0,0.971574,0,0,440.829,1142.69,0,0,1464.01,4201.33,0
1706674806950188547,1838,1019,810,0.554407,28.1696,46.5131,63.185,77.1473,200.573,-6.59143,422.226,689.464,1060.06,1386.29,1360.92,3652.68,6424.5,9841.42,1264.39,1780.85,2759.9,646.17,723.063,465.389,454354,3824.5,5246.06,0.294694,4.04048,0,0,0.00841744,0,6.07833,22.5062,154.373,208.148,1249.81,3605.14,0,0,2,2,7,0.777778,1,0.622703,0.622703,0.908189,0.00299387,0.0435151,1019,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.1696,63.185,4.97553,1037.48,1232.54,0,0.992895,-0.114626,-0.0319312,0.999999,0.0646765,0.0857429,0.851852,0.92,637.026,869.021,1694.91,2191.37,51.4275,395.273,1198.05,47.6771,1667.05,171.749,89.4952,-0.0770655,-0.0867752,0.254737,0.74612,0,0,0,0,0,0,0,77.1473,0,0.977429,0,0,422.226,1060.06,0,0,1360.92,3652.68,0
1706674807050028578,1845,1081,755,0.585908,27.0395,46.5194,63.7098,76.1721,214.743,-8.03503,386.767,650.394,994.468,1360.14,1286.38,3637.6,7175.49,21696.6,1232.54,1789.9,2744.36,623.944,753.726,441.465,475462,4382.75,6035.24,2.27051,5.32673,0,0,0.00921788,0,6.78879,20.3374,171.51,206.174,1533.57,4096.87,0,0,2,1,8,0.888889,1,0.494217,0.494217,0.873749,0.00414232,0.0292471,1081,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.0395,63.7098,6.34266,1068.63,1248.03,0,0.99275,-0.116356,-0.0301582,0.999997,0.142179,0.197307,0.869159,0.93,671.856,862.077,1699.75,2324.22,58.9596,422.39,1155.49,42.7568,1747.13,194.352,93.1931,-0.00891858,0.14546,2.24321,-0.329928,0,0,0,0,0,0,0,76.1721,0,0.986124,0,0,386.767,994.468,0,0,1286.38,3637.6,0
