stamp,input_points,valid_points,unique_pixels,collisions,invalid,horizontal_boundary_adjusted,vertical_top_clamped,vertical_bottom_clamped,vertical_clamped_ratio,filtered_min,filtered_max,filtered_mean,filtered_std,filtered_p01,filtered_p05,filtered_p50,filtered_p95,filtered_p99,filtered_sat0,filtered_sat255,raw_min,raw_max,raw_p50,raw_p95,raw_p99,elev_min_deg,elev_max_deg,elev_p01_deg,elev_p99_deg,intensity_preprocess_ms,intensity_map_voxels,observed_voxels,selected_intensity_voxels,selected_intensity_points
1705888360937982153,23842,23842,8882,14960,0,0,0,0,0,0,255,100.935,84.8343,0.5,2.5,75.5,255.5,255.5,1019,2934,0,171,13.5,150.5,151.5,-37.6273,38.407,-34.375,34.625,3.96315,533,332,100,3221
1705888361038607927,23851,23851,8802,15049,0,0,0,0,0,0,255,102.89,85.3544,0.5,3.5,78.5,255.5,255.5,932,2949,0,205,15.5,150.5,151.5,-37.9727,38.4255,-34.125,34.625,3.64139,552,412,100,3244
1705888361138442497,23842,23842,8884,14958,0,0,0,0,0,0,255,101.221,85.8255,0.5,2.5,75.5,255.5,255.5,981,3070,0,158,14.5,150.5,151.5,-37.8385,38.3302,-34.375,34.625,3.35051,561,425,100,3281
1705888361238272659,23870,23870,8943,14927,0,0,0,0,0,0,255,102.588,84.8085,0.5,2.5,78.5,255.5,255.5,983,2993,0,159,15.5,150.5,151.5,-37.6135,38.472,-34.125,34.625,3.31845,568,453,100,3232
1705888361338114933,23853,23853,9048,14805,0,0,0,0,0,0,255,100.465,84.888,0.5,2.5,74.5,255.5,255.5,947,3033,0,184,14.5,150.5,151.5,-37.4007,38.2203,-34.375,34.125,3.42175,579,448,100,3226
1705888361437958601,23843,23843,8952,14891,0,0,0,0,0,0,255,100.599,84.4446,0.5,3.5,74.5,255.5,255.5,993,2898,0,158,13.5,150.5,151.5,-37.7797,38.5034,-33.875,34.125,3.57134,593,461,100,3136
1705888361538607276,23860,23860,9053,14807,0,0,0,0,0,0,255,102.985,85.3608,0.5,2.5,78.5,255.5,255.5,985,3160,0,174,14.5,150.5,151.5,-37.6872,38.0532,-33.875,34.125,3.68057,597,465,100,3047
1705888361638443740,23870,23870,9077,14793,0,0,0,0,0,0,255,102.536,85.0249,0.5,2.5,77.5,255.5,255.5,1042,2976,0,155,14.5,150.5,151.5,-37.6138,38.5071,-33.875,35.125,3.7245,600,453,100,2904
1705888361738281494,23871,23871,9050,14821,0,0,0,0,0,0,255,101.83,84.6504,0.5,3.5,76.5,255.5,255.5,943,2862,0,159,15.5,150.5,151.5,-37.7007,38.1773,-33.625,34.125,3.80168,603,470,100,3023
1705888361838119385,23865,23865,9014,14851,0,0,0,0,0,0,255,100.962,85.4554,0.5,3.5,73.5,255.5,255.5,954,3004,0,211,15.5,150.5,151.5,-37.8144,37.9315,-33.875,33.875,3.67464,608,468,100,2901
1705888361937946150,23846,23846,9005,14841,0,0,0,1,4.19358e-05,0,255,99.202,84.1324,0.5,3.5,72.5,255.5,255.5,978,2914,0,164,14.5,150.5,151.5,-38.019,38.4895,-33.875,34.125,3.66751,608,478,100,2781
1705888362038582445,23847,23847,9027,14820,0,0,0,0,0,0,255,103.647,84.9428,0.5,3.5,77.5,255.5,255.5,925,2957,0,156,15.5,150.5,151.5,-37.7752,38.2893,-34.375,34.125,3.69245,609,455,100,2788
1705888362138411936,23827,23827,8916,14911,0,0,0,0,0,0,255,99.0528,84.9972,0.5,2.5,73.5,255.5,255.5,1128,2866,0,158,13.5,150.5,151.5,-37.8263,38.4408,-34.125,34.625,3.67701,611,464,100,2643
1705888362238244483,23844,23844,8803,15041,0,0,0,0,0,0,255,102.227,84.417,0.5,3.5,76.5,255.5,255.5,936,2829,0,159,15.5,150.5,151.5,-37.6924,38.3762,-34.125,34.375,3.53098,614,468,100,2677
1705888362338079610,23839,23839,8787,15052,0,0,0,0,0,0,255,101.232,85.0462,0.5,2.5,74.5,255.5,255.5,984,2895,0,186,13.5,150.5,151.5,-37.7927,38.3873,-34.375,34.625,3.5939,614,477,100,2593
1705888362438307763,23843,23843,8892,14951,0,0,0,0,0,0,255,101.67,84.6482,0.5,3.5,76.5,255.5,255.5,919,2945,0,210,15.5,150.5,151.5,-37.5803,38.441,-34.125,34.625,3.52266,617,475,100,2651
1705888362538138842,23854,23854,9046,14808,0,0,0,0,0,0,255,101.997,85.0902,0.5,3.5,78.5,255.5,255.5,941,3131,0,188,14.5,150.5,151.5,-37.5364,38.2948,-34.375,34.375,3.58678,620,467,100,2612
1705888362637974608,23837,23837,9070,14767,0,0,0,0,0,0,255,99.7393,84.3317,0.5,2.5,72.5,255.5,255.5,1010,2880,0,163,13.5,150.5,151.5,-37.8339,38.4892,-33.875,34.125,3.6592,620,465,100,2621
1705888362738622119,23862,23862,8995,14867,0,0,0,0,0,0,255,101.317,84.8645,0.5,2.5,74.5,255.5,255.5,956,3008,0,159,14.5,150.5,151.5,-37.2994,37.9141,-33.875,33.875,3.65208,620,467,100,2593
1705888362838466851,23847,23847,9045,14802,0,0,0,0,0,0,255,102.351,85.3805,0.5,3.5,76.5,255.5,255.5,1020,3091,0,159,14.5,150.5,151.5,-37.4966,38.1879,-33.875,34.125,3.6129,624,472,100,2566
1705888362938308004,23870,23870,9074,14796,0,0,0,0,0,0,255,103.503,84.8871,0.5,3.5,79.5,255.5,255.5,953,3026,0,169,16.5,150.5,151.5,-37.7042,38.5049,-33.625,35.125,3.54404,625,476,100,2585
1705888363038133837,23856,23856,9063,14793,0,0,0,0,0,0,255,101.591,85.0378,0.5,2.5,77.5,255.5,255.5,1030,2910,0,174,15.5,150.5,151.5,-37.5839,38.0697,-33.875,34.125,3.5476,625,467,100,2643
1705888363137975179,23843,23843,8957,14886,0,0,0,0,0,0,255,102.185,86.2246,0.5,3.5,75.5,255.5,255.5,984,3024,0,155,14.5,150.5,151.5,-37.6479,38.5084,-33.875,34.125,3.6592,625,478,100,2596
1705888363238617479,23869,23869,9039,14830,0,0,0,0,0,0,255,103.982,85.8623,0.5,3.5,78.5,255.5,255.5,980,3180,0,182,15.5,150.5,151.5,-37.8693,38.203,-34.375,34.125,3.56897,627,472,100,2628
1705888363338463361,23824,23824,8906,14918,0,0,0,0,0,0,255,99.1116,84.1408,0.5,2.5,73.5,255.5,255.5,1054,2860,0,159,13.5,150.5,151.5,-37.6552,38.4816,-34.125,34.625,3.54997,628,482,100,2494
1705888363438297843,23851,23851,8878,14973,0,0,0,1,4.1927e-05,0,255,101.609,85.2229,0.5,2.5,76.5,255.5,255.5,1069,3078,0,154,15.5,150.5,151.5,-38.2349,38.2984,-34.375,34.625,3.66395,630,473,100,2478
1705888363538144587,23846,23846,8856,14990,0,0,0,0,0,0,255,99.9595,84.9803,0.5,0.5,74.5,255.5,255.5,1217,2914,0,163,12.5,150.5,151.5,-37.7371,38.4393,-34.125,34.625,3.57372,630,473,100,2469
1705888363637992265,23851,23851,8855,14996,0,0,0,0,0,0,255,103.005,84.3923,0.5,2.5,79.5,255.5,255.5,1024,2880,0,156,14.5,150.5,151.5,-37.9499,38.3901,-34.375,34.375,3.65564,632,469,100,2478
1705888363738626866,23844,23844,8977,14867,0,0,0,0,0,0,255,100.286,85.2216,0.5,2.5,75.5,255.5,255.5,1063,3059,0,155,13.5,150.5,151.5,-37.5337,38.3727,-34.375,34.125,3.61171,635,463,100,2493
1705888363838481265,23841,23841,9119,14722,0,0,0,0,0,0,255,100.212,84.227,0.5,2.5,71.5,255.5,255.5,1023,2771,0,215,14.5,150.5,151.5,-37.7562,38.4552,-33.875,34.125,3.63308,636,484,100,2512
1705888363938322531,23888,23888,9059,14829,0,0,0,0,0,0,255,100.329,85.7138,0.5,2.5,72.5,255.5,255.5,1161,3148,0,178,14.5,150.5,151.5,-37.9899,37.794,-33.875,33.875,3.48705,637,481,100,2511
1705888364038162089,23835,23835,9003,14832,0,0,0,0,0,0,255,101.029,84.7703,0.5,1.5,75.5,255.5,255.5,1139,2958,0,170,14.5,150.5,151.5,-37.4812,38.2724,-33.625,34.125,3.47161,637,471,100,2476
1705888364138002177,23869,23869,8992,14877,0,0,0,0,0,0,255,103.148,85.5727,0.5,3.5,76.5,255.5,255.5,947,3027,0,169,16.5,150.5,151.5,-37.9305,38.4989,-33.875,34.125,3.53098,639,485,100,2522
1705888364238636892,23855,23855,9028,14827,0,0,0,0,0,0,255,102.498,85.2993,0.5,2.5,76.5,255.5,255.5,1072,3028,0,171,15.5,150.5,151.5,-37.6657,38.1506,-33.875,34.375,3.66276,639,472,100,2453
