stamp,input_points,valid_points,unique_pixels,collisions,invalid,horizontal_boundary_adjusted,vertical_top_clamped,vertical_bottom_clamped,vertical_clamped_ratio,filtered_min,filtered_max,filtered_mean,filtered_std,filtered_p01,filtered_p05,filtered_p50,filtered_p95,filtered_p99,filtered_sat0,filtered_sat255,raw_min,raw_max,raw_p50,raw_p95,raw_p99,elev_min_deg,elev_max_deg,elev_p01_deg,elev_p99_deg,intensity_preprocess_ms,intensity_map_voxels,observed_voxels,selected_intensity_voxels,selected_intensity_points
1706671289800151667,23735,23735,9008,14727,0,0,0,0,0,0,255,128.213,61.8193,0.5,21.5,130.5,255.5,255.5,298,1418,0,255,35.5,81.5,150.5,-37.8764,38.2733,-33.875,34.125,4.33833,3025,821,100,2374
1706671289899990569,23717,23717,9012,14705,0,0,0,11,0.000463802,0,255,129.047,61.2902,0.5,23.5,131.5,255.5,255.5,367,1470,0,255,35.5,80.5,144.5,-38.2142,38.4961,-33.875,34.625,3.74469,3420,1238,100,2392
1706671289999819143,23738,23738,9015,14723,0,0,0,17,0.000716151,0,255,127.965,61.1806,0.5,23.5,129.5,255.5,255.5,244,1396,0,255,35.5,80.5,150.5,-38.4927,38.1482,-34.125,34.625,3.82067,3722,1421,100,2404
1706671290099660758,23757,23757,9021,14736,0,0,0,12,0.000505114,0,255,129.554,61.8476,0.5,23.5,130.5,255.5,255.5,281,1478,0,255,35.5,82.5,150.5,-38.0834,38.511,-34.375,34.125,4.12818,3914,1580,100,2312
1706671290199881508,23739,23739,8968,14771,0,0,0,18,0.000758246,0,255,128.326,61.9137,0.5,24.5,128.5,255.5,255.5,316,1459,0,255,35.5,80.5,150.5,-38.5114,38.1098,-34.375,34.375,4.16736,4108,1669,100,2317
1706671290299708454,23720,23720,8948,14772,0,0,0,10,0.000421585,0,255,129.238,61.2827,0.5,21.5,131.5,255.5,255.5,316,1343,0,255,35.5,78.5,131.5,-38.1804,38.5033,-34.375,34.625,4.04507,4267,1721,100,2264
1706671290399553067,23737,23737,8839,14898,0,0,0,17,0.000716181,0,255,130.376,62.3913,0.5,23.5,131.5,255.5,255.5,277,1547,0,255,35.5,81.5,133.5,-38.4972,38.2256,-34.375,34.625,3.83136,4399,1800,100,2129
1706671290500195096,23751,23751,8834,14917,0,0,0,13,0.000547345,0,255,129.021,60.83,2.5,25.5,129.5,255.5,255.5,236,1437,0,255,35.5,81.5,150.5,-38.2909,38.4764,-34.375,34.625,3.89547,4521,1846,100,2192
1706671290600041452,23727,23727,8899,14828,0,0,0,16,0.000674337,0,255,128.496,63.5261,0.5,20.5,128.5,255.5,255.5,328,1671,0,255,35.5,83.5,150.5,-38.4608,38.3279,-34.625,34.625,3.65564,4624,1867,100,2173
1706671290699886467,23715,23715,8960,14755,0,0,0,15,0.000632511,0,255,128.216,62.1466,3.5,24.5,128.5,255.5,255.5,226,1552,0,255,35.5,80.5,150.5,-38.3691,38.4284,-34.375,34.125,3.4538,4706,1908,100,2192
