pair             | t>  0.5m | t>  1.0m | t>  5.0m | t> 20.0m | t>100.0m | maxdiff@end
old_run1 vs old_run2 |   34.5 |   35.6 |   37.9 |   41.6 |   58.1 |    258.0
old_run1 vs old_run3 |   34.8 |   36.4 |   41.4 |   47.5 |   70.2 |   1000.7
old_run1 vs new_run1 |   86.9 |   88.4 |   94.9 | - | - |     15.7
old_run1 vs new_run2 |   87.0 |   88.4 |   94.7 | - | - |     14.6
old_run1 vs new_run3 |   35.4 |   36.3 |   39.4 |   42.2 |   76.2 |    391.9
old_run2 vs old_run3 |   36.5 |   37.1 |   38.5 |   43.5 |   65.3 |    748.6
old_run2 vs new_run1 |   34.4 |   35.6 |   37.9 |   41.6 |   58.3 |    242.3
old_run2 vs new_run2 |   34.9 |   35.7 |   37.9 |   41.6 |   58.3 |    243.5
old_run2 vs new_run3 |   37.1 |   37.3 |   38.9 |   60.6 |   70.2 |    134.3
old_run3 vs new_run1 |   34.5 |   36.2 |   41.4 |   47.7 |   70.2 |    985.5
old_run3 vs new_run2 |   35.3 |   36.7 |   41.5 |   47.7 |   70.2 |    986.6
old_run3 vs new_run3 |   37.4 |   38.3 |   40.1 |   43.6 |   71.0 |    616.4
new_run1 vs new_run2 |  100.2 |  101.3 | - | - | - |      1.2
new_run1 vs new_run3 |   35.3 |   36.2 |   39.4 |   42.2 |   76.2 |    376.3
new_run2 vs new_run3 |   35.5 |   36.4 |   39.4 |   42.2 |   76.2 |    377.4
