stamp,candidates,valid_matches,immature_matches,match_ratio,r_abs_p50,r_abs_p75,r_abs_p90,r_abs_p95,r_abs_max,r_signed_median,grad_p50,grad_p75,grad_p90,grad_p95,J_norm_p50,J_norm_p90,J_norm_p99,J_norm_max,Jdof_p90_rx,Jdof_p90_ry,Jdof_p90_rz,Jdof_p90_tx,Jdof_p90_ty,Jdof_p90_tz,H_geo_fro,H_photo_fro,H_photo_trace,b_geo_norm,b_photo_norm,R_H_unscaled,R_b_unscaled,R_H_scaled,lambda_ref,eig1,eig2,eig3,eig4,eig5,eig6,photo_step_t_mm,photo_step_r_deg,lm_iterations,lm_accepted,lm_rejected,reject_rate,lm_initial_cost,lm_final_cost,geo_cost,photo_cost,pose_delta_t_m,pose_delta_r_deg,photo_effective_residuals,fd_samples,fd_median_rel_err,fd_p95_rel_err,fd_done,photometric_scale,fd_level_a_samples,fd_level_a_median,fd_level_a_p95,fd_level_a_sign,fd_level_b_points,fd_level_b_scalars,fd_level_b_median,fd_level_b_p95,fd_level_b_sign,fd_b_rx_med,fd_b_rx_p95,fd_b_ry_med,fd_b_ry_p95,fd_b_rz_med,fd_b_rz_p95,fd_b_tx_med,fd_b_tx_p95,fd_b_ty_med,fd_b_ty_p95,fd_b_tz_med,fd_b_tz_p95,fd_b_analytic_p50,fd_b_analytic_p90,fd_b_analytic_p99,fd_b_numeric_p50,fd_b_numeric_p90,fd_b_numeric_p99,fd_c_voxel_switch,fd_c_cell_switch,fd_c_validity_switch,fd_c_noswitch_samples,fd_c_noswitch_median,fd_c_noswitch_p95,photo_near_fraction,photo_near_r_p50,photo_near_r_p90,photo_far_r_p50,photo_far_r_p90,geo_lambda1,geo_lambda2,geo_lambda3,geo_two_weak_flag,eta_world_x,eta_world_y,eta_world_z,eta_abs_dot_prev,eta_angle_prev_deg,weak_subspace_diff_F,selected_voxel_jaccard,selected_voxel_retention,selected_score_p10,selected_score_p50,selected_score_p90,selected_score_max,candidate_score_p50,candidate_score_p90,candidate_score_p99,q_geo_v1,q_geo_v2,q_photo_v1,q_photo_v2,s_geo_v1,s_geo_v2,s_photo_v1,s_photo_v2,parity_count_serial,parity_count_parallel,parity_cost_rel,parity_H_rel,parity_b_rel,source_near_fraction,photo_near_r_p95,photo_far_r_p95,photo_near_inlier_fraction,photo_far_inlier_fraction,photo_near_grad_p50,photo_near_grad_p90,photo_far_grad_p50,photo_far_grad_p90,photo_near_J_p50,photo_near_J_p90,photo_far_J_p50,photo_far_J_p90,photo_near_H_fraction
1691509832356948442,2999,1532,1437,0.510837,6.29871,11.2534,20.6544,32.9947,208.039,-0.46609,196.556,346.503,631.416,919.186,401.265,1537.69,5078,28341.7,778.999,691.327,817.207,372.309,385.123,189.827,88071.8,1692.45,2754.84,0.00352891,2.67277,0,0,0.0192168,0,41.6258,57.3378,95.0533,452.044,594.75,1514.03,0,0,5,5,6,0.545455,1,2.55911,2.55911,0.275019,0.00534905,0.126813,1532,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.150131,4.61756,11.7216,6.53265,22.0072,82.7078,530.277,635.015,1,0.823275,0.567535,-0.0110433,1,0,0,0,0,366.437,466.622,1002.89,2200.78,26.6433,303.767,936.943,840.196,2670.17,142.567,247.506,3.78874e-05,-0.000768719,-1.1887,-0.40518,0,0,0,0,0,0.0766922,14.7341,38.1781,1,0.99232,143.977,312.37,212.584,663.547,202.02,456.918,476.547,1731.22,0.00874742
1691509832456941785,2946,1976,915,0.67074,7.0248,13.7571,26.9775,51.1849,223.686,-0.513804,238.14,435.569,799.295,1174.04,608.449,2255.15,6045.04,12994,1091.13,987.465,1281.92,439.192,480.372,240.852,113532,2631.26,4349.14,17.5016,5.74527,0,0,0.0231765,0,60.4615,82.4444,117.858,545.246,1368.44,2174.69,0,0,2,1,11,0.916667,1,2.12624,2.12624,0.74306,0.000196265,0.0380736,1976,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0328947,5.64964,16.3862,7.08837,27.483,84.5462,616.387,677.066,1,0.833892,0.551228,0.0277677,0.999058,2.48774,0.0692641,0.612903,0.76,439.57,589.217,1249.4,2174.4,41.2869,342.616,1044.13,864.26,2823.89,204.391,240.934,-3.66026,-0.578699,1.8072,-0.147039,0,0,0,0,0,0.0220638,22.3545,53.0021,1,0.976975,159.731,574.819,241.174,809.539,220.734,926.125,624.18,2314.32,0.00336099
1691509832556922176,2831,1970,794,0.695867,7.40565,15.2482,35.4898,66.3682,198.156,-0.286648,275.581,549.536,1082.1,1500.17,741.048,3070.14,7277.68,16416.9,1441.59,1346.41,1705.65,582.812,636.092,357.972,101682,4494.14,7542.35,0.593043,4.36361,0,0,0.044198,0,92.1709,135.255,243.135,974.675,2512.82,3584.3,0,0,4,3,9,0.75,1,2.46247,2.46247,0.89621,0.00776642,0.0917721,1970,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0319797,5.76027,13.9852,7.5076,36.3851,90.1945,649.085,674.72,1,0.837074,0.522587,0.161895,0.99059,7.86646,0.272293,0.709402,0.83,543.003,680.895,1591.96,2716.7,57.4418,391.341,1254.41,840.237,2507.53,332.097,324.268,0.0598567,-0.0894945,1.75988,1.70449,0,0,0,0,0,0.0222536,20.6421,68.7105,1,0.969586,158.699,674.81,278.429,1112.54,227.882,1079.14,768.121,3130.52,0.00264972
1691509832657014955,2704,1986,661,0.734467,7.45563,17.2697,35.1541,65.4552,176.118,-0.0907922,291.708,566.304,1068.6,1495.47,798.695,3274.72,7826.92,16604.5,1413.29,1389.48,1998.41,550.502,637.75,331.757,119229,5636.38,8810.95,0.456731,5.55057,0,0,0.0472735,0,78.4981,125.381,207.006,936.48,2512.26,4951.32,0,0,4,4,8,0.666667,1,2.98727,2.98727,0.865977,0.00234517,0.0652323,1986,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0181269,5.93372,16.7655,7.5692,35.5763,90.3822,658.182,697.436,1,-0.838079,-0.534387,-0.109791,0.998572,3.06185,0.104921,0.769912,0.87,570.267,706.034,1657.99,3009.63,75.9187,418.613,1337.87,846.129,2635.13,325.239,405.92,0.0435402,0.0124426,-1.4502,0.629221,0,0,0,0,0,0.0133136,27.6598,65.9662,1,0.970256,174.948,651.446,293.835,1080.43,253.701,1009.98,808.13,3308.32,0.00138439
1691509832757141503,2660,1878,752,0.706015,7.91188,17.9315,47.1939,72.6316,199.692,-0.344618,334.622,660.21,1120.05,1479.73,963.311,3383.76,7226.3,19963.4,1612.35,1474.18,2165.86,588.492,740.923,394.251,117856,5573.2,8906.93,16.0276,5.7399,0,0,0.0472883,0,94.3974,115.087,223.077,1213.78,2373.86,4886.73,0,0,1,0,9,1,1,2.94088,2.94088,0.968503,0,0,1878,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014377,8.48833,20.664,7.88637,47.796,88.6255,679.303,701.072,1,0.837131,0.518551,0.174118,0.997805,3.79682,0.139624,0.709402,0.83,672.478,871.573,1638.18,2757.01,92.3861,479.592,1460.1,843.289,2694.25,284.468,401.826,-4.35825,0.635424,1.04599,1.11139,0,0,0,0,0,0.0101504,29.7438,73.1925,1,0.968666,170.217,708.011,335.666,1125.06,270.39,1084.46,977.33,3414.33,0.0011745
1691509832857243565,2616,1732,836,0.66208,10.3453,25.2413,66.1003,90.7624,176.973,-0.105297,363.341,704.109,1198.9,1542.17,1020.66,3576.94,7620.5,20093.5,1762.35,1676.33,2144.69,656.266,729.848,444.588,95206.4,5593.57,9079.86,6.93676,2.90779,0,0,0.058752,0,106.112,118.567,241.861,1310.93,2463.08,4839.3,0,0,2,1,9,0.9,1,3.34052,3.34052,1.23869,0.00463783,0.027339,1732,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0155889,6.20553,16.4041,10.5925,66.5898,83.5209,661.772,675.707,1,0.829984,0.490866,0.26491,0.99547,5.4559,0.198196,0.724138,0.84,723.058,954.952,1755.99,2920.23,112.951,522.118,1624.88,805.358,2539.01,309.556,377.984,0.0249941,0.143633,1.49896,0.657241,0,0,0,0,0,0.0103211,24.7444,91.9595,1,0.957771,325.767,742.534,363.415,1201.57,475.688,1216.98,1037.79,3611.03,0.00162769
1691509832957094154,2673,1764,857,0.659933,11.5247,27.293,65.9576,95.2771,243.977,0.394008,392.873,742.905,1206.9,1561.86,1141.87,3781.33,8404.69,26950.5,1912.29,1746.15,2435.38,665.249,767.647,491.421,99198.2,6357.06,10765.2,2.06889,15.7534,0,0,0.0640845,0,157.988,215.682,308.923,1823.67,2943.15,5315.77,0,0,4,4,8,0.666667,1,4.05626,4.05626,1.34944,0.00956596,0.0442664,1764,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015873,7.24796,19.2076,11.6489,66.3253,86.2504,670.203,681.547,1,0.826456,0.437961,0.353781,0.994645,5.93197,0.196869,0.754386,0.86,781.342,1063.23,1790.95,3061.62,143.805,587.817,1582.32,894.405,2523.1,335.804,517.751,0.3632,-0.0517835,-1.09019,-1.1962,0,0,0,0,0,0.0104751,28.0745,95.8179,1,0.950461,224.542,774.227,392.98,1209.77,325.395,1252.31,1155.79,3795.83,0.00132033
1691509833057097669,2629,1845,759,0.701788,11.7262,27.6171,54.5501,84.5018,196.047,0.513279,418.161,745.098,1190.68,1517.66,1213.98,3809.47,8387.82,64527,1894.58,1585.59,2618.57,654.686,857.765,317.205,110960,10359.4,14839.9,4.33964,9.79885,0,0,0.0933623,0,100.688,144.017,221.628,1352.09,3299.08,9722.45,0,0,2,1,11,0.916667,1,2.76754,2.76754,1.1887,0.0021632,0.0460787,1845,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0151762,6.37258,12.2155,11.9809,54.911,92.3309,660.349,697.32,1,0.83738,0.543455,0.0587569,0.950856,18.0371,0.607971,0.666667,0.8,775.361,1087.93,1885.94,2544,148.081,559.222,1770.69,912.527,2762.94,520.062,533.761,-0.501483,0.439674,0.392739,0.571518,0,0,0,0,0,0.0106504,13.423,84.9745,1,0.963126,261.921,721.555,419.875,1197.52,411.159,1189.89,1230.71,3869.04,0.00100235
1691509833157069399,2563,1934,610,0.754584,11.8873,27.2136,54.5704,78.1809,235.036,0.874964,407.378,739.383,1196.31,1489.66,1204.15,3844.63,7995.46,15963,1792.38,1573.28,2677.58,664.531,840.802,299.126,117914,7043.45,11142.3,3.97041,11.4656,0,0,0.0597336,0,96.2071,105.351,194.796,1693.72,2836.11,6216.08,0,0,2,1,9,0.9,1,3.21289,3.21289,1.18211,0.00452026,0.0688131,1934,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0149948,8.05342,17.0738,12.0618,55.2242,93.688,660.259,699.053,1,0.836851,0.543821,0.0627695,0.999992,0.232842,0.00623617,0.818182,0.9,820.178,1093.84,1926.59,2532.03,157.435,563.422,1872.86,934.785,2807.98,330.513,495.429,-0.739773,-0.0814664,-0.144136,1.24395,0,0,0,0,0,0.0113149,20.753,78.634,1,0.970604,235.153,785.045,408.339,1203.13,385.977,1239.16,1225.69,3864.42,0.00144759
1691509833256792964,2590,2074,508,0.800772,11.7837,26.9509,50.1593,76.5464,184.307,1.66757,394.499,714.02,1153.55,1457.59,1215.05,3726.37,7711.62,13748.1,1754.67,1511.78,2541.79,632.792,841.345,261.756,116850,7327.76,11538.8,0.738506,22.0201,0,0,0.0627107,0,103.376,110.926,191.654,1695.95,2953.17,6483.74,0,0,3,3,8,0.727273,1,2.74815,2.74815,1.14242,0.0020651,0.0410666,2074,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0130183,7.61306,18.0574,11.9258,50.7174,90.4996,668.386,703.115,1,0.837083,0.544045,0.0575053,0.999986,0.30218,0.00832341,0.886792,0.94,860.834,1118.99,1942.08,2339.99,165.277,589.043,1898.53,942.365,2735.5,331.73,533.11,-0.0190075,0.0189599,-1.41953,4.34986,0,0,0,0,0,0.0104247,20.5226,77.3231,1,0.974597,204.474,757.582,395.494,1157,310.384,1216.41,1235.11,3744.27,0.00108745
1691509833356703314,2557,2120,419,0.829097,11.9292,26.4625,47.52,69.9787,219.094,2.66189,392.933,684.745,1112.54,1445.1,1165.38,3523.96,7754.5,16221.2,1681.03,1499.49,2327.52,609.579,777.381,298.402,127645,6942.18,11210.6,15.57,15.6871,0,0,0.0543865,0,90.0405,97.7582,216.875,1780.85,3057.9,5967.16,0,0,1,1,8,0.888889,1,2.92279,2.92279,1.13171,5.6572e-07,0.000125036,2120,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0127358,7.58607,17.4567,12.0642,47.8721,92.8975,682.727,710.375,1,-0.83979,-0.520539,-0.15425,0.99504,5.70878,0.192722,0.834862,0.91,879.292,1135.36,1959.74,2732.32,175.016,611.612,1823.27,915.61,2688.96,317.924,488.05,-0.671799,2.71919,1.0607,-3.42526,0,0,0,0,0,0.0105592,21.9414,70.3061,1,0.977544,214.024,708.415,394.901,1119.04,324.962,1133.72,1177.81,3549.38,0.000977519
1691509833456853839,2664,2269,386,0.851727,9.77259,22.0859,40.5588,53.571,175.191,2.13102,372.482,683.951,1120.68,1454.13,1145.98,3687.46,8743.13,28425.6,1680.19,1726.77,2327.47,587.724,735.722,445.516,127219,8545.15,14249.1,3.33088,9.19645,0,0,0.0671688,0,128.673,132.318,271.06,2086.35,5135.93,6494.73,0,0,2,1,9,0.9,1,2.46192,2.46192,0.708892,0.00480487,0.0537756,2269,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.77259,40.5588,89.6768,694.472,708.852,1,0.816658,0.339421,0.466759,0.9345,20.8526,0.699057,0.639344,0.78,838.392,1052.97,1673.97,3670.11,195.181,653.195,1619.78,877.297,2563.73,327.964,416.003,0.0211834,0.0275957,0.798831,0.788228,0,0,0,0,0,0,0,53.571,0,0.991626,0,0,372.482,1120.68,0,0,1145.98,3687.46,0
1691509833557372641,2505,2069,422,0.825948,10.9499,24.153,42.2255,60.9732,235.187,2.54649,380.299,734.344,1174.46,1518.55,1148.78,3888.45,8878.34,17640.5,1759.35,1478.99,2781.68,645.589,846.497,290.764,128305,8328.39,13157.3,1.05512,13.1022,0,0,0.0649107,0,71.9657,111.053,210.047,2018.09,3438.16,7308,0,0,3,2,9,0.818182,1,2.20945,2.20945,0.905766,0.00534312,0.029262,2069,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0140164,6.33454,17.2031,11.0586,43.0456,96.6982,695.634,712.668,1,0.836744,0.506661,0.207737,0.952268,17.7741,0.603363,0.639344,0.78,890.15,1195.1,1885.38,2091.42,187.982,611.757,1776.05,903.532,2675.24,346.651,574.074,-0.0265198,0.0744549,-1.0708,-4.03691,0,0,0,0,0,0.0115768,19.0195,61.4924,1,0.981863,250.549,767.175,381.465,1178.65,363.035,1226.53,1164.29,3923.55,0.00118589
1691509833657102222,2622,2237,377,0.853166,10.228,22.2249,39.9199,54.4798,177.247,3.27184,387.107,687.89,1126.55,1456.43,1236.1,3742.85,8316.62,24961.6,1612.6,1663.84,2451.29,598.061,732.527,429.857,128686,8436.12,14100.6,0.117482,10.1443,0,0,0.0655558,0,127.905,137.031,252.761,2233.31,4759.74,6589.86,0,0,3,2,8,0.8,1,2.15924,2.15924,0.776147,0.000660749,0.0221121,2237,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.228,39.9199,91.9241,702.056,709.02,1,0.824267,0.383788,0.416282,0.970628,13.9211,0.477813,0.724138,0.84,880.86,1122.19,1654.07,2295.24,207.08,666.861,1618.15,880.871,2571.24,330.899,440.771,0.0218446,0.00146704,0.230897,-1.56857,0,0,0,0,0,0,0,54.4798,0,0.988377,0,0,387.107,1126.55,0,0,1236.1,3742.85,0
1691509833757021103,2532,2217,312,0.875592,10.4753,21.4782,36.9572,50.0199,198.929,2.66547,385.43,673.667,1102.54,1358.9,1157.19,3666.7,8778.76,23748,1583.17,1504.15,2527.82,621.828,774.772,270.29,129616,8586.11,13977.4,0.374368,10.8118,0,0,0.0662425,0,74.8713,110.857,252.072,1922.51,4698.13,6918.92,0,0,4,4,11,0.733333,1,2.267,2.267,0.731714,0.00272413,0.0422128,2217,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0135318,6.42724,22.3796,10.5899,37.2456,93.7826,681.212,710.005,1,-0.837731,-0.53434,-0.112634,0.942475,19.5285,0.658814,0.680672,0.81,915.23,1168.44,1811.18,2637.5,190.088,618.154,1742.28,916.68,2736.68,340.865,482.476,-0.0658682,-0.363001,-0.0354959,-1.75706,0,0,0,0,0,0.0118483,24.4333,50.0308,1,0.987654,220.854,754.843,387.808,1105.18,340.752,1200.53,1169,3673.37,0.000995673
1691509833856895933,2657,2282,349,0.858863,9.34296,19.5096,33.7966,49.2464,199.684,2.21529,363.821,676.132,1078.09,1386.98,1183.38,3657.73,8406.84,22259.6,1635.68,1736.37,2144.94,595.566,669.964,489.697,124570,8157.24,13668.8,2.69829,7.91379,0,0,0.0654829,0,123.656,144.951,250.916,2148.98,4687.84,6312.47,0,0,2,2,8,0.8,1,2.15714,2.15714,0.669701,0.0017725,0.0229318,2282,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.34296,33.7966,95.0695,692.092,706.839,1,0.812477,0.321076,0.486611,0.907011,24.9046,0.819004,0.574803,0.73,865.956,1057.59,1638.73,2077.71,214.604,684.696,1573.55,908.919,2540.27,307.005,400.745,-0.124861,-0.492533,-0.386974,0.315361,0,0,0,0,0,0,0,49.2464,0,0.989483,0,0,363.821,1078.09,0,0,1183.38,3657.73,0
1691509833956938439,2535,2258,268,0.89073,10.6349,20.7321,36.2016,61.4278,181.238,2.42169,383.434,668.401,1079.82,1356.82,1192.55,3620.95,8557.05,23491.8,1496.96,1591.78,2485.75,617.504,699.258,348.014,119657,8056.68,13095.8,2.92071,16.3764,0,0,0.0673315,0,69.1073,102.432,263.369,1717.82,4471.62,6471.41,0,0,2,1,9,0.9,1,2.35339,2.35339,0.893746,0.00289994,0.029975,2258,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.6349,36.2016,91.1941,680.521,702.285,1,0.838284,0.477267,0.263623,0.962607,15.7179,0.539747,0.626016,0.77,899.477,1176.9,1770.87,2050.38,217.283,672.914,1596.36,905.864,2642.02,350.985,434.41,0.330984,-0.46857,1.56326,2.42541,0,0,0,0,0,0,0,61.4278,0,0.982285,0,0,383.434,1079.82,0,0,1192.55,3620.95,0
1691509834056745231,2499,2292,205,0.917167,10.2282,19.8714,34.6364,49.6424,183.118,2.07724,369.47,642.384,1042.46,1356.46,1155.96,3610.97,8323.88,21209.2,1451.91,1477.41,2550.57,596.539,698.892,301.783,127951,8453.84,13764.6,5.54265,16.4725,0,0,0.0660711,0,64.1055,97.4927,268.788,1844.05,4752.88,6737.29,0,0,3,2,11,0.846154,1,2.2569,2.2569,0.762581,7.72264e-05,0.0174901,2292,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.2282,34.6364,91.6645,685.106,704.23,1,0.83741,0.492953,0.236096,0.999498,1.81602,0.0608436,0.904762,0.95,933.767,1190.93,1765.7,2208.04,219.901,673.842,1634.99,964.384,2677.85,362.012,421.954,-1.41082,0.105396,0.45004,2.94338,0,0,0,0,0,0,0,49.6424,0,0.987347,0,0,369.47,1042.46,0,0,1155.96,3610.97,0
1691509834156859117,2486,2248,228,0.904264,10.0788,19.9173,34.0165,49.9344,186.145,2.57965,359.73,644.814,1047.32,1394.99,1120.24,3638.74,8525.25,17508.1,1459.86,1461.92,2509.73,579.968,699.25,298.048,134853,8176.54,13170.3,8.5516,12.6024,0,0,0.0606329,0,71.7706,93.5318,240.841,1715.84,4339.29,6708.98,0,0,2,1,9,0.9,1,2.44126,2.44126,0.753807,0.00129729,0.0557022,2248,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.0788,34.0165,93.8591,688.221,711.92,1,0.839709,0.514178,0.174667,0.997885,3.7268,0.124752,0.869159,0.93,924.578,1177.06,1712.54,2282.55,217.866,658.432,1637.37,930.532,2768.52,336.268,442.222,-0.357028,0.188519,-0.784628,-0.256147,0,0,0,0,0,0,0,49.9344,0,0.986655,0,0,359.73,1047.32,0,0,1120.24,3638.74,0
1691509834256833376,2489,2189,293,0.87947,10.3484,20.3371,37.9112,57.6076,211.704,2.33986,373.293,658.786,1064.25,1426.37,1171.39,3833.73,9103.73,21668.3,1490.38,1655.56,2593.15,615.871,706.717,328.545,129096,8917.8,14534.7,31.5025,16.6678,0,0,0.0690786,0,73.6344,93.724,260.174,1896.94,5298.12,6912.08,0,0,1,1,8,0.888889,1,2.41439,2.41439,0.87609,3.19424e-07,0.000256234,2189,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.3484,37.9112,92.2679,676.172,703.56,1,-0.837555,-0.516573,-0.177914,0.99999,0.26204,0.0133265,0.923077,0.96,921.749,1171.59,1702.3,2207.87,222.545,666.283,1608.72,931.875,2763.7,349.928,433.984,0.66419,2.13161,1.03579,0.239148,0,0,0,0,0,0,0,57.6076,0,0.984468,0,0,373.293,1064.25,0,0,1171.39,3833.73,0
1691509834356921549,2477,2153,322,0.869197,10.5702,20.6577,34.6144,51.0191,181.476,0.964924,376.513,665.697,1088.51,1400.62,1165.83,3833.6,8607.12,20642.7,1442.35,1775.75,2615.85,642.125,676.653,334.581,131802,8913.13,14379.4,3.15883,15.8207,0,0,0.0676253,0,74.3848,93.5006,265.722,1742.66,5136.05,7067.05,0,0,2,1,9,0.9,1,2.07974,2.07974,0.781693,0.00204207,0.0236184,2153,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.5702,34.6144,89.0814,676.059,707.86,1,-0.836169,-0.537161,-0.110813,0.997536,4.02312,0.142914,0.904762,0.95,914.61,1128.44,1700.94,2268.8,225.556,666.748,1650.37,907.968,2826.1,345.682,418.413,-0.11215,0.321415,1.15826,-0.638086,0,0,0,0,0,0,0,51.0191,0,0.982815,0,0,376.513,1088.51,0,0,1165.83,3833.6,0
