stamp,candidates,valid_matches,immature_matches,match_ratio,r_abs_p50,r_abs_p75,r_abs_p90,r_abs_p95,r_abs_max,r_signed_median,grad_p50,grad_p75,grad_p90,grad_p95,J_norm_p50,J_norm_p90,J_norm_p99,J_norm_max,Jdof_p90_rx,Jdof_p90_ry,Jdof_p90_rz,Jdof_p90_tx,Jdof_p90_ty,Jdof_p90_tz,H_geo_fro,H_photo_fro,H_photo_trace,b_geo_norm,b_photo_norm,R_H_unscaled,R_b_unscaled,R_H_scaled,lambda_ref,eig1,eig2,eig3,eig4,eig5,eig6,photo_step_t_mm,photo_step_r_deg,lm_iterations,lm_accepted,lm_rejected,reject_rate,lm_initial_cost,lm_final_cost,geo_cost,photo_cost,pose_delta_t_m,pose_delta_r_deg,photo_effective_residuals,fd_samples,fd_median_rel_err,fd_p95_rel_err,fd_done,photometric_scale,fd_level_a_samples,fd_level_a_median,fd_level_a_p95,fd_level_a_sign,fd_level_b_points,fd_level_b_scalars,fd_level_b_median,fd_level_b_p95,fd_level_b_sign,fd_b_rx_med,fd_b_rx_p95,fd_b_ry_med,fd_b_ry_p95,fd_b_rz_med,fd_b_rz_p95,fd_b_tx_med,fd_b_tx_p95,fd_b_ty_med,fd_b_ty_p95,fd_b_tz_med,fd_b_tz_p95,fd_b_analytic_p50,fd_b_analytic_p90,fd_b_analytic_p99,fd_b_numeric_p50,fd_b_numeric_p90,fd_b_numeric_p99,fd_c_voxel_switch,fd_c_cell_switch,fd_c_validity_switch,fd_c_noswitch_samples,fd_c_noswitch_median,fd_c_noswitch_p95,photo_near_fraction,photo_near_r_p50,photo_near_r_p90,photo_far_r_p50,photo_far_r_p90,geo_lambda1,geo_lambda2,geo_lambda3,geo_two_weak_flag,eta_world_x,eta_world_y,eta_world_z,eta_abs_dot_prev,eta_angle_prev_deg,weak_subspace_diff_F,selected_voxel_jaccard,selected_voxel_retention,selected_score_p10,selected_score_p50,selected_score_p90,selected_score_max,candidate_score_p50,candidate_score_p90,candidate_score_p99,q_geo_v1,q_geo_v2,q_photo_v1,q_photo_v2,s_geo_v1,s_geo_v2,s_photo_v1,s_photo_v2,parity_count_serial,parity_count_parallel,parity_cost_rel,parity_H_rel,parity_b_rel,source_near_fraction,photo_near_r_p95,photo_far_r_p95,photo_near_inlier_fraction,photo_far_inlier_fraction,photo_near_grad_p50,photo_near_grad_p90,photo_far_grad_p50,photo_far_grad_p90,photo_near_J_p50,photo_near_J_p90,photo_far_J_p50,photo_far_J_p90,photo_near_H_fraction
1691509832356948442,2959,1542,1387,0.521122,6.26532,11.1169,20.4575,32.9299,208.039,-0.528557,197.604,346.001,630.172,916.735,404.14,1533.02,5074.32,28341.7,776.321,682.028,813.484,372.309,381.394,195.748,88071.8,1691.92,2756.53,0.00352891,2.64243,0,0,0.0192106,0,41.8241,58.2994,95.1809,453.34,594.988,1512.89,0,0,5,5,6,0.545455,1,2.55911,2.55911,0.274372,0.00534905,0.126813,1542,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.149157,4.61756,11.7216,6.50012,21.958,82.5498,529.489,632.961,1,0.822192,0.56908,-0.012188,1,0,0,0,0,364.445,466.705,1004.34,2200.86,26.705,302.657,937.946,839.545,2671.27,142.875,247.352,3.67134e-05,-0.000767504,-1.17839,-0.405539,0,0,0,0,0,0.077729,14.7341,37.6617,1,0.992378,143.977,312.37,213.893,662.187,202.02,456.918,479.945,1730.75,0.00874206
1691509832456941785,2927,1988,884,0.679194,7.04668,13.9613,28.7059,54.2502,223.686,-0.536824,239.66,439.824,815.302,1223.06,611.44,2322.94,6256.54,12994,1118.63,1017.06,1303.78,455.164,494.046,251.722,113532,2799.07,4846.46,17.5016,5.67027,0,0,0.0246545,0,74.8412,85.7339,202.847,804.956,1409.74,2268.34,0,0,2,1,11,0.916667,1,2.12624,2.12624,0.772038,0.000196265,0.0380736,1988,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0326962,5.64964,16.3862,7.10604,29.0917,84.4497,610.612,677.939,1,0.833592,0.552043,0.0192985,0.999294,2.15281,0.0547602,0.6,0.75,439.578,589.544,1245.51,2172.92,41.17,345.093,1036.61,864.141,2829.6,244.52,241.671,-3.66064,-0.616916,2.1633,-0.206773,0,0,0,0,0,0.022207,22.3545,56.8118,1,0.976079,159.731,574.819,242.172,831.092,220.734,926.125,627.594,2369.66,0.0030161
1691509832556922176,2834,1982,786,0.699365,7.25828,14.696,34.4484,65.5005,198.156,-0.308354,267.795,528.35,1047.13,1473.41,726.407,2969.52,7206.24,16416.9,1399.08,1275.39,1626.96,563.32,618.866,327.746,101682,4223.49,7111.7,0.593043,4.45834,0,0,0.0415362,0,92.6907,134.887,244.99,961.128,2244.27,3433.74,0,0,4,3,9,0.75,1,2.46247,2.46247,0.889136,0.00776642,0.0917721,1982,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0317861,5.76027,13.9852,7.30965,35.3787,89.6872,650.962,674.351,1,0.836859,0.52288,0.162059,0.989379,8.358,0.286904,0.709402,0.83,539.97,676.866,1591.87,2716.63,57.5717,390.863,1178.61,841.261,2508.06,322.355,314.684,0.0598844,-0.0895756,1.70677,1.75189,0,0,0,0,0,0.0222301,20.6421,67.7163,1,0.969776,158.699,674.81,272.001,1065.37,227.882,1079.14,737.328,3040.26,0.00281017
1691509832657014955,2704,2004,643,0.741124,7.63328,17.2878,35.1258,65.2557,176.118,-0.115013,291.976,564.942,1056.51,1487.52,803.391,3208.25,7795.12,16604.5,1394.6,1384.53,1995.91,550.531,637.887,314.026,119229,5665.68,8828.8,0.456731,5.62424,0,0,0.0475192,0,76.0123,114.572,205.05,948.322,2491.77,4993.07,0,0,4,4,8,0.666667,1,2.98727,2.98727,0.868917,0.00234517,0.0652323,2004,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0179641,5.93372,16.7655,7.6748,35.4434,90.0232,653.202,695.775,1,-0.838684,-0.537318,-0.0888745,0.997216,4.27625,0.145791,0.709402,0.83,562.668,707.852,1677.05,2969.97,73.976,413.489,1345.46,846.775,2647.14,329.775,409.92,0.0436231,0.00758711,-1.4831,0.641887,0,0,0,0,0,0.0133136,27.6598,65.7869,1,0.970528,174.948,651.446,294.589,1069.47,253.701,1009.98,812.032,3283.93,0.00138159
1691509832757141503,2665,1905,730,0.714822,7.92409,17.802,46.5627,72.0993,199.692,-0.37736,333.132,655.988,1116.58,1475.03,954.283,3359.65,7187.72,19963.4,1606.95,1472.13,2152.33,586.484,736.92,390.329,117856,5585.06,8937.1,16.0276,5.80975,0,0,0.0473889,0,95.8418,115.171,223.469,1224.68,2386.69,4891.25,0,0,1,0,9,1,1,2.94088,2.94088,0.968049,0,0,1905,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0141732,8.48833,20.664,7.91626,47.0621,88.4872,676.623,699.89,1,-0.837243,-0.523591,-0.157722,0.997535,4.02398,0.148541,0.694915,0.82,667.242,864.981,1650.24,2721.24,91.5254,473.6,1455.76,843.123,2706.1,285.801,406.562,4.35751,-0.72928,-1.06923,-1.18966,0,0,0,0,0,0.0101313,29.7438,72.5185,1,0.969116,170.217,708.011,333.662,1122.11,270.39,1084.46,965.481,3383.76,0.00117054
1691509832857243565,2609,1722,824,0.660023,10.3808,25.4025,66.1787,90.8546,176.973,-0.105297,365.094,707.593,1200.37,1543.23,1022.54,3583.17,7633.34,20093.5,1764.86,1698.59,2164.77,657.578,731.075,446.798,95206.4,5587.52,9068.02,6.93676,2.90218,0,0,0.0586885,0,105.824,117.872,241.748,1307.96,2459.81,4834.81,0,0,2,1,9,0.9,1,3.34052,3.34052,1.23607,0.00463783,0.027339,1722,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0156794,6.20553,16.4041,10.6551,67.0544,83.3102,660.232,673.458,1,0.831126,0.504223,0.234498,0.996846,4.55146,0.165146,0.724138,0.84,714.127,943.887,1720.54,2854.27,112.988,524.702,1635.46,805.808,2564.76,309.306,382.455,0.0243233,0.193996,1.49982,0.604466,0,0,0,0,0,0.0103488,24.7444,92.6212,1,0.957522,325.767,742.534,365.441,1204.37,475.688,1216.98,1038.97,3628.53,0.00162982
1691509832957094154,2689,1780,857,0.661956,11.7145,27.2358,65.753,94.6669,243.977,0.427581,392.98,739.653,1204.67,1557.28,1152.35,3778.1,8290.7,26950.5,1903.99,1821.87,2359.41,653.425,766.09,498.492,99198.2,6309.34,10749.8,2.06889,15.4947,0,0,0.0636034,0,156.591,217.697,308.264,1858.81,2986.9,5221.51,0,0,4,4,8,0.666667,1,4.05626,4.05626,1.35312,0.00956596,0.0442664,1780,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0157303,7.24796,19.2076,11.7642,66.1833,86.0757,665.957,678.967,1,0.822162,0.408177,0.396788,0.982178,10.8332,0.366773,0.73913,0.85,787.255,1055.32,1720.46,3146.85,142.735,598.654,1586.93,893.685,2499.69,331.113,492.766,0.363233,-0.0551726,-0.886859,-0.877437,0,0,0,0,0,0.0104128,28.0745,95.5674,1,0.950913,224.542,774.227,393.396,1207.56,325.395,1252.31,1171.03,3794.38,0.00132222
1691509833057097669,2629,1845,759,0.701788,11.7262,27.6171,54.5501,84.5018,196.047,0.513279,418.161,745.098,1190.68,1517.66,1213.98,3809.47,8387.82,64527,1894.58,1585.59,2618.57,654.686,857.765,317.205,110960,10359.4,14839.9,4.33964,9.79885,0,0,0.0933623,0,100.688,144.017,221.628,1352.09,3299.08,9722.45,0,0,2,1,11,0.916667,1,2.76754,2.76754,1.1887,0.0021632,0.0460787,1845,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0151762,6.37258,12.2155,11.9809,54.911,94.0302,659.144,695.826,1,-0.836864,-0.540575,-0.0862436,0.942909,19.4541,0.652986,0.666667,0.8,791.551,1104.56,1881.13,2534.18,151.133,560.618,1767.51,911.599,2744.8,520.256,530.569,0.50105,-0.463612,-0.393663,-0.573171,0,0,0,0,0,0.0106504,13.423,84.9745,1,0.963126,261.921,721.555,419.875,1197.52,411.159,1189.89,1230.71,3869.04,0.00100235
1691509833157069399,2560,1939,602,0.757422,11.8324,28.0121,54.9136,78.0107,235.036,0.990038,408.741,743.657,1198.19,1490.24,1215.7,3873.93,7992.58,15963,1798.46,1575.93,2721.9,671.002,843.82,298.171,117914,7166.6,11321.1,3.97041,11.5769,0,0,0.0607781,0,97.7231,114.681,201.763,1721.13,2839.98,6345.79,0,0,2,1,9,0.9,1,3.21289,3.21289,1.1908,0.00452026,0.0688131,1939,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0149562,8.05342,17.0738,11.9647,55.5511,93.6355,660.24,694.124,1,-0.837376,-0.54189,-0.0718138,0.999895,0.830721,0.0310658,0.834862,0.91,822.261,1099.73,1923.59,2527.27,157.727,578.964,1873,934.705,2800.18,341.437,500.008,0.740159,0.0668889,0.203787,-1.05508,0,0,0,0,0,0.0113281,20.753,78.6307,1,0.970681,235.153,785.045,411.06,1209.12,385.977,1239.16,1239.29,3924.34,0.00142472
1691509833256792964,2588,2072,508,0.800618,11.6408,26.9001,50.1639,76.5711,184.307,1.66757,395.285,715.335,1153.89,1457.78,1222.13,3731.23,7711.98,13748.1,1763.57,1513.05,2566.93,631.886,842.203,260.866,116850,7359.76,11575.4,0.738506,21.8616,0,0,0.0629845,0,103.3,110.874,191.813,1695.29,2954.78,6519.32,0,0,3,3,8,0.727273,1,2.74815,2.74815,1.14052,0.0020651,0.0410666,2072,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0130309,7.61306,18.0574,11.7764,50.7386,91.8985,670.806,705.295,1,0.837325,0.543502,0.0590939,0.999918,0.734639,0.019145,0.904762,0.95,871.173,1119.15,1940.98,2338.98,165.38,590.582,1897.81,941.934,2733.58,331.36,535.384,-0.0188915,0.0184609,-1.4429,4.28164,0,0,0,0,0,0.0104328,20.5226,77.4111,1,0.974572,204.474,757.582,396.522,1157.08,310.384,1216.41,1243.09,3745.35,0.00108402
