stamp,candidates,valid_matches,immature_matches,match_ratio,r_abs_p50,r_abs_p75,r_abs_p90,r_abs_p95,r_abs_max,r_signed_median,grad_p50,grad_p75,grad_p90,grad_p95,J_norm_p50,J_norm_p90,J_norm_p99,J_norm_max,Jdof_p90_rx,Jdof_p90_ry,Jdof_p90_rz,Jdof_p90_tx,Jdof_p90_ty,Jdof_p90_tz,H_geo_fro,H_photo_fro,H_photo_trace,b_geo_norm,b_photo_norm,R_H_unscaled,R_b_unscaled,R_H_scaled,lambda_ref,eig1,eig2,eig3,eig4,eig5,eig6,photo_step_t_mm,photo_step_r_deg,lm_iterations,lm_accepted,lm_rejected,reject_rate,lm_initial_cost,lm_final_cost,geo_cost,photo_cost,pose_delta_t_m,pose_delta_r_deg,photo_effective_residuals,fd_samples,fd_median_rel_err,fd_p95_rel_err,fd_done,photometric_scale,fd_level_a_samples,fd_level_a_median,fd_level_a_p95,fd_level_a_sign,fd_level_b_points,fd_level_b_scalars,fd_level_b_median,fd_level_b_p95,fd_level_b_sign,fd_b_rx_med,fd_b_rx_p95,fd_b_ry_med,fd_b_ry_p95,fd_b_rz_med,fd_b_rz_p95,fd_b_tx_med,fd_b_tx_p95,fd_b_ty_med,fd_b_ty_p95,fd_b_tz_med,fd_b_tz_p95,fd_b_analytic_p50,fd_b_analytic_p90,fd_b_analytic_p99,fd_b_numeric_p50,fd_b_numeric_p90,fd_b_numeric_p99,fd_c_voxel_switch,fd_c_cell_switch,fd_c_validity_switch,fd_c_noswitch_samples,fd_c_noswitch_median,fd_c_noswitch_p95,photo_near_fraction,photo_near_r_p50,photo_near_r_p90,photo_far_r_p50,photo_far_r_p90,geo_lambda1,geo_lambda2,geo_lambda3,geo_two_weak_flag,eta_world_x,eta_world_y,eta_world_z,eta_abs_dot_prev,eta_angle_prev_deg,weak_subspace_diff_F,selected_voxel_jaccard,selected_voxel_retention,selected_score_p10,selected_score_p50,selected_score_p90,selected_score_max,candidate_score_p50,candidate_score_p90,candidate_score_p99,q_geo_v1,q_geo_v2,q_photo_v1,q_photo_v2,s_geo_v1,s_geo_v2,s_photo_v1,s_photo_v2,parity_count_serial,parity_count_parallel,parity_cost_rel,parity_H_rel,parity_b_rel,source_near_fraction,photo_near_r_p95,photo_far_r_p95,photo_near_inlier_fraction,photo_far_inlier_fraction,photo_near_grad_p50,photo_near_grad_p90,photo_far_grad_p50,photo_far_grad_p90,photo_near_J_p50,photo_near_J_p90,photo_far_J_p50,photo_far_J_p90,photo_near_H_fraction
1691509832356948442,2992,1532,1432,0.512032,6.29871,11.2534,20.6544,32.9947,208.039,-0.46609,196.556,346.503,631.416,919.186,401.265,1537.69,5078,28341.7,778.999,691.327,817.207,372.309,385.123,189.827,88071.8,1692.45,2754.84,0.00352891,2.67277,0,0,0.0192168,0,41.6258,57.3378,95.0533,452.044,594.75,1514.03,0,0,5,5,6,0.545455,1,2.55911,2.55911,0.275019,0.00534905,0.126813,1532,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.150131,4.61756,11.7216,6.53265,22.0072,82.6124,531.948,632.44,1,0.823087,0.567887,-0.00569698,1,0,0,0,0,364.821,466.334,1002.96,2199.72,26.6528,303.835,936.751,840.186,2667.39,142.587,247.604,3.71088e-05,-0.00077497,-1.18907,-0.40669,0,0,0,0,0,0.0768717,14.7341,38.1781,1,0.99232,143.977,312.37,212.584,663.547,202.02,456.918,476.547,1731.22,0.00874742
1691509832456941785,2927,1991,881,0.680219,7.02508,13.7706,26.8611,50.8185,223.686,-0.496186,239.551,437.377,801.258,1175.16,611.396,2284.16,6022.84,12994,1097.6,987.128,1307.97,444.104,490.363,237.928,113532,2671.47,4402.87,17.5016,5.73643,0,0,0.0235306,0,60.485,82.4698,118.27,547.306,1376.98,2217.36,0,0,2,1,11,0.916667,1,2.12624,2.12624,0.744127,0.000196265,0.0380736,1991,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0326469,5.64964,16.3862,7.09259,27.2326,84.4443,613.547,679.009,1,0.833738,0.551695,0.0226518,0.99941,1.96766,0.048874,0.626016,0.77,439.577,589.416,1248.38,2173.56,41.1755,343.896,1039.1,864.384,2827.45,207.235,243.84,-3.65961,-0.602799,1.82185,-0.132055,0,0,0,0,0,0.022207,22.3545,52.5141,1,0.977155,159.731,574.819,241.925,813.059,220.734,926.125,626.74,2334.27,0.00331997
1691509832556922176,2832,1979,786,0.698799,7.30036,15.0646,35.2071,65.6811,198.156,-0.286694,272.684,542.561,1073.29,1486.78,735.58,3061.84,7265.91,16416.9,1440.56,1345.99,1672.14,577.73,633.055,357.82,101682,4452.27,7471.23,0.593043,4.36405,0,0,0.0437862,0,91.3915,132.301,242.216,955.37,2512.87,3537.08,0,0,4,3,9,0.75,1,2.46247,2.46247,0.894705,0.00776642,0.0917721,1979,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0318343,5.76027,13.9852,7.43879,35.8129,90.2541,651.058,674.688,1,0.837316,0.524209,0.155266,0.990823,7.7684,0.269196,0.694915,0.82,539.994,680.873,1585.76,2704.54,57.3839,389.82,1244.99,840.313,2510.69,327.708,323.014,0.059878,-0.0898725,1.74132,1.73419,0,0,0,0,0,0.0222458,20.6421,67.9649,1,0.969729,158.699,674.81,276.823,1091.49,227.882,1079.14,759,3091.7,0.00267494
1691509832657014955,2704,1986,661,0.734467,7.45563,17.2697,35.1541,65.4552,176.118,-0.0907922,291.708,566.304,1068.6,1495.47,798.695,3274.72,7826.92,16604.5,1413.29,1389.48,1998.41,550.502,637.75,331.757,119229,5636.38,8810.95,0.456731,5.55057,0,0,0.0472735,0,78.4981,125.381,207.006,936.48,2512.26,4951.32,0,0,4,4,8,0.666667,1,2.98727,2.98727,0.865977,0.00234517,0.0652323,1986,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0181269,5.93372,16.7655,7.5692,35.5763,90.379,657.275,698.346,1,-0.838162,-0.535627,-0.102901,0.998563,3.07155,0.10538,0.754386,0.86,568.866,706.671,1665.05,2996.26,75.1173,415.183,1339.54,846.25,2639.1,325.231,406.189,0.0435613,0.010831,-1.45027,0.628301,0,0,0,0,0,0.0133136,27.6598,65.9662,1,0.970256,174.948,651.446,293.835,1080.43,253.701,1009.98,808.13,3308.32,0.00138439
1691509832757141503,2660,1878,752,0.706015,7.91188,17.9315,47.1939,72.6316,199.692,-0.344618,334.622,660.21,1120.05,1479.73,963.311,3383.76,7226.3,19963.4,1612.35,1474.18,2165.86,588.492,740.923,394.251,117856,5573.2,8906.93,16.0276,5.7399,0,0,0.0472883,0,94.3974,115.087,223.077,1213.78,2373.86,4886.73,0,0,1,0,9,1,1,2.94088,2.94088,0.968503,0,0,1878,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014377,8.48833,20.664,7.88637,47.796,88.5902,679.324,701.086,1,0.836851,0.518726,0.174942,0.997261,4.24133,0.155416,0.709402,0.83,672.58,871.602,1637.26,2758.1,92.472,479.62,1460.51,843.084,2693.78,284.457,401.758,-4.3574,0.632972,1.04653,1.1109,0,0,0,0,0,0.0101504,29.7438,73.1925,1,0.968666,170.217,708.011,335.666,1125.06,270.39,1084.46,977.33,3414.33,0.0011745
1691509832857243565,2622,1730,829,0.659802,10.1561,24.0736,62.1897,90.5279,176.973,0.137561,366.364,703.328,1182.16,1482.86,1020.66,3568.8,7284.1,11567.8,1692.48,1679.48,2224.86,651.907,735.884,429.294,95206.4,5033.29,8267.82,6.93676,4.21785,0,0,0.0528672,0,93.6293,113.133,206.955,1139.31,2512.59,4202.2,0,0,2,1,9,0.9,1,3.34052,3.34052,1.18809,0.00463783,0.027339,1730,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0156069,6.20553,16.4041,10.3194,62.7567,83.5233,661.322,676.154,1,0.831421,0.507778,0.225611,0.998642,2.9867,0.111447,0.754386,0.86,716.725,940.414,1721.94,2834.85,112.862,530.527,1632.64,805.392,2571.89,290.248,359.616,0.0249435,0.207611,1.10309,0.906404,0,0,0,0,0,0.0102975,24.7444,90.6385,1,0.958896,325.767,742.534,366.514,1188.11,475.688,1216.98,1037.79,3589.3,0.00178756
1691509832957094154,2612,1772,787,0.678407,11.5466,27.0295,63.8103,91.2217,243.977,0.244962,381.529,733.045,1168.39,1526.52,1080.05,3700.28,8393.26,26950.5,1835.31,1569.98,2431.07,653.326,776.761,413.969,99198.2,6190.81,10287,2.06889,14.198,0,0,0.0624085,0,134.991,194.619,298.437,1663.93,2683.73,5311.3,0,0,4,4,8,0.666667,1,4.05626,4.05626,1.27895,0.00956596,0.0442664,1772,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0158014,7.24796,19.2076,11.6391,64.3222,84.6462,667.752,681.601,1,0.83186,0.48184,0.27539,0.998425,3.21661,0.103464,0.785714,0.88,768.921,1055,1799.76,2898.61,138.818,583.855,1510.79,894.212,2574.18,320.918,563.94,0.3632,-0.0455426,-1.0043,-1.7114,0,0,0,0,0,0.0107198,28.0745,92.323,1,0.955849,224.542,774.227,381.66,1183.55,325.395,1252.31,1101.77,3721.49,0.0013817
1691509833057097669,2629,1845,759,0.701788,11.7262,27.6171,54.5501,84.5018,196.047,0.513279,418.161,745.098,1190.68,1517.66,1213.98,3809.47,8387.82,64527,1894.58,1585.59,2618.57,654.686,857.765,317.205,110960,10359.4,14839.9,4.33964,9.79885,0,0,0.0933623,0,100.688,144.017,221.628,1352.09,3299.08,9722.45,0,0,2,1,11,0.916667,1,2.76754,2.76754,1.1887,0.0021632,0.0460787,1845,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0151762,6.37258,12.2155,11.9809,54.911,92.7794,663.571,696.649,1,-0.836469,-0.54283,-0.0752001,0.978092,12.0154,0.408754,0.709402,0.83,781.663,1092.6,1883.5,2539.6,150.908,563.739,1769.33,911.149,2752.22,520.31,531.835,0.501073,-0.45487,-0.393908,-0.572185,0,0,0,0,0,0.0106504,13.423,84.9745,1,0.963126,261.921,721.555,419.875,1197.52,411.159,1189.89,1230.71,3869.04,0.00100235
1691509833157069399,2561,1963,579,0.766497,11.9039,27.4114,54.26,77.1902,235.036,0.925449,407.706,739.037,1194.34,1489.33,1212.77,3851.21,7859.51,12182.1,1793.15,1556.87,2692.61,668.309,838.221,288.832,117914,7124.24,11110.7,3.97041,11.3625,0,0,0.0604188,0,97.817,113.522,181.255,1583.3,2768.77,6366.05,0,0,2,1,9,0.9,1,3.21289,3.21289,1.19323,0.00452026,0.0688131,1963,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0147733,8.05342,17.0738,12.0658,54.9338,93.6367,659.441,701.922,1,0.8364,0.545634,0.052145,0.99973,1.33073,0.050095,0.834862,0.91,823.603,1104.7,1929.53,2536.78,157.607,580.078,1873.53,934.827,2816.91,338.814,506.451,-0.73953,-0.0984945,-0.0885814,1.1071,0,0,0,0,0,0.0113237,20.753,78.1809,1,0.971044,235.153,785.045,408.633,1200.97,385.977,1239.16,1227.49,3872.77,0.0014517
1691509833256792964,2588,2072,508,0.800618,11.6408,26.9001,50.1639,76.5711,184.307,1.66757,395.285,715.335,1153.89,1457.78,1222.13,3731.23,7711.98,13748.1,1763.57,1513.05,2566.93,631.886,842.203,260.866,116850,7359.76,11575.4,0.738506,21.8616,0,0,0.0629845,0,103.3,110.874,191.813,1695.29,2954.78,6519.32,0,0,3,3,8,0.727273,1,2.74815,2.74815,1.14052,0.0020651,0.0410666,2072,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0130309,7.61306,18.0574,11.7764,50.7386,91.8096,671.028,703.163,1,0.837677,0.540569,0.0779849,0.999653,1.51051,0.0641855,0.923077,0.96,869.537,1123.37,1942.37,2331.25,167.208,594.918,1890.53,941.253,2717.75,331.381,533.402,-0.0187454,0.0140442,-1.44152,4.24499,0,0,0,0,0,0.0104328,20.5226,77.4111,1,0.974572,204.474,757.582,396.522,1157.08,310.384,1216.41,1243.09,3745.35,0.00108402
