stamp,candidates,valid_matches,immature_matches,match_ratio,r_abs_p50,r_abs_p75,r_abs_p90,r_abs_p95,r_abs_max,r_signed_median,grad_p50,grad_p75,grad_p90,grad_p95,J_norm_p50,J_norm_p90,J_norm_p99,J_norm_max,Jdof_p90_rx,Jdof_p90_ry,Jdof_p90_rz,Jdof_p90_tx,Jdof_p90_ty,Jdof_p90_tz,H_geo_fro,H_photo_fro,H_photo_trace,b_geo_norm,b_photo_norm,R_H_unscaled,R_b_unscaled,R_H_scaled,lambda_ref,eig1,eig2,eig3,eig4,eig5,eig6,photo_step_t_mm,photo_step_r_deg,lm_iterations,lm_accepted,lm_rejected,reject_rate,lm_initial_cost,lm_final_cost,geo_cost,photo_cost,pose_delta_t_m,pose_delta_r_deg,photo_effective_residuals,fd_samples,fd_median_rel_err,fd_p95_rel_err,fd_done,photometric_scale,fd_level_a_samples,fd_level_a_median,fd_level_a_p95,fd_level_a_sign,fd_level_b_points,fd_level_b_scalars,fd_level_b_median,fd_level_b_p95,fd_level_b_sign,fd_b_rx_med,fd_b_rx_p95,fd_b_ry_med,fd_b_ry_p95,fd_b_rz_med,fd_b_rz_p95,fd_b_tx_med,fd_b_tx_p95,fd_b_ty_med,fd_b_ty_p95,fd_b_tz_med,fd_b_tz_p95,fd_b_analytic_p50,fd_b_analytic_p90,fd_b_analytic_p99,fd_b_numeric_p50,fd_b_numeric_p90,fd_b_numeric_p99,fd_c_voxel_switch,fd_c_cell_switch,fd_c_validity_switch,fd_c_noswitch_samples,fd_c_noswitch_median,fd_c_noswitch_p95,photo_near_fraction,photo_near_r_p50,photo_near_r_p90,photo_far_r_p50,photo_far_r_p90,geo_lambda1,geo_lambda2,geo_lambda3,geo_two_weak_flag,eta_world_x,eta_world_y,eta_world_z,eta_abs_dot_prev,eta_angle_prev_deg,weak_subspace_diff_F,selected_voxel_jaccard,selected_voxel_retention,selected_score_p10,selected_score_p50,selected_score_p90,selected_score_max,candidate_score_p50,candidate_score_p90,candidate_score_p99,q_geo_v1,q_geo_v2,q_photo_v1,q_photo_v2,s_geo_v1,s_geo_v2,s_photo_v1,s_photo_v2,parity_count_serial,parity_count_parallel,parity_cost_rel,parity_H_rel,parity_b_rel,source_near_fraction,photo_near_r_p95,photo_far_r_p95,photo_near_inlier_fraction,photo_far_inlier_fraction,photo_near_grad_p50,photo_near_grad_p90,photo_far_grad_p50,photo_far_grad_p90,photo_near_J_p50,photo_near_J_p90,photo_far_J_p50,photo_far_J_p90,photo_near_H_fraction
1691509832356948442,2999,1532,1437,0.510837,6.29871,11.2534,20.6544,32.9947,208.039,-0.46609,196.556,346.503,631.416,919.186,401.265,1537.69,5078,28341.7,778.999,691.327,817.207,372.309,385.123,189.827,88071.8,1692.45,2754.84,0.00352891,2.67277,0,0,0.0192168,0,41.6258,57.3378,95.0533,452.044,594.75,1514.03,0,0,5,5,6,0.545455,1,2.55911,2.55911,0.275019,0.00534905,0.126813,1532,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.150131,4.61756,11.7216,6.53265,22.0072,82.7247,532.254,635.021,1,0.823045,0.567868,-0.0110945,1,0,0,0,0,366.32,466.629,1003.2,2200.76,26.6595,303.457,936.245,840.089,2670.32,142.577,247.495,3.75744e-05,-0.000768643,-1.18887,-0.404668,0,0,0,0,0,0.0766922,14.7341,38.1781,1,0.99232,143.977,312.37,212.584,663.547,202.02,456.918,476.547,1731.22,0.00874742
1691509832456941785,2946,1976,915,0.67074,7.0248,13.7571,26.9775,51.1849,223.686,-0.513804,238.14,435.569,799.295,1174.04,608.449,2255.15,6045.04,12994,1091.13,987.465,1281.92,439.192,480.372,240.852,113532,2631.26,4349.14,17.5016,5.74527,0,0,0.0231765,0,60.4615,82.4444,117.858,545.246,1368.44,2174.69,0,0,2,1,11,0.916667,1,2.12624,2.12624,0.74306,0.000196265,0.0380736,1976,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0328947,5.64964,16.3862,7.08837,27.483,84.5554,616.405,679.039,1,0.83384,0.551405,0.0257711,0.999127,2.39471,0.0652206,0.612903,0.76,439.574,589.296,1249.67,2174.09,41.2837,342.896,1041.83,864.398,2825.34,204.39,240.89,-3.65959,-0.588552,1.80725,-0.147786,0,0,0,0,0,0.0220638,22.3545,53.0021,1,0.976975,159.731,574.819,241.174,809.539,220.734,926.125,624.18,2314.32,0.00336099
1691509832556922176,2835,1984,785,0.699824,7.24522,14.7282,34.3687,63.9514,198.156,-0.258914,270.355,533.172,1048.58,1443.2,732.426,3042.76,6865.46,16416.9,1413.88,1295.73,1666.03,564.279,624.596,328.065,101682,4416.37,7285.79,0.593043,3.75629,0,0,0.0434331,0,75.225,130.826,198.88,866.227,2457.86,3556.77,0,0,4,3,9,0.75,1,2.46247,2.46247,0.880978,0.00776642,0.0917721,1984,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.031754,5.76027,13.9852,7.30036,35.3514,90.2551,651.143,675.602,1,-0.83744,-0.526284,-0.147374,0.992284,7.12204,0.246903,0.724138,0.84,540.948,681.071,1578.17,2689.72,57.3824,391.289,1234.87,840.347,2514.55,290.159,323.861,-0.0598786,0.0903288,-1.25973,-1.60341,0,0,0,0,0,0.0222222,20.6421,64.6521,1,0.969287,158.699,674.81,275.357,1065.96,227.882,1079.14,749.085,3063.07,0.00274303
1691509832657014955,2704,1986,661,0.734467,7.45563,17.2697,35.1541,65.4552,176.118,-0.0907922,291.708,566.304,1068.6,1495.47,798.695,3274.72,7826.92,16604.5,1413.29,1389.48,1998.41,550.502,637.75,331.757,119229,5636.38,8810.95,0.456731,5.55057,0,0,0.0472735,0,78.4981,125.381,207.006,936.48,2512.26,4951.32,0,0,4,4,8,0.666667,1,2.98727,2.98727,0.865977,0.00234517,0.0652323,1986,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0181269,5.93372,16.7655,7.5692,35.5763,90.387,658.23,698.383,1,-0.838074,-0.535131,-0.106151,0.999111,2.41615,0.0824308,0.769912,0.87,569.4,706.376,1661.75,3002.43,75.4081,416.561,1338.33,846.196,2637.27,325.237,406.067,0.0435584,0.0115775,-1.45018,0.628875,0,0,0,0,0,0.0133136,27.6598,65.9662,1,0.970256,174.948,651.446,293.835,1080.43,253.701,1009.98,808.13,3308.32,0.00138439
1691509832757141503,2660,1878,752,0.706015,7.91188,17.9315,47.1939,72.6316,199.692,-0.344618,334.622,660.21,1120.05,1479.73,963.311,3383.76,7226.3,19963.4,1612.35,1474.18,2165.86,588.492,740.923,394.251,117856,5573.2,8906.93,16.0276,5.7399,0,0,0.0472883,0,94.3974,115.087,223.077,1213.78,2373.86,4886.73,0,0,1,0,9,1,1,2.94088,2.94088,0.968503,0,0,1878,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014377,8.48833,20.664,7.88637,47.796,88.6346,680.201,701.164,1,0.83686,0.515846,0.183214,0.996844,4.55329,0.166087,0.709402,0.83,671.422,872.503,1627.14,2776.29,92.6268,480.683,1463.17,843.223,2687.79,284.465,400.907,-4.35797,0.584197,1.04616,1.11138,0,0,0,0,0,0.0101504,29.7438,73.1925,1,0.968666,170.217,708.011,335.666,1125.06,270.39,1084.46,977.33,3414.33,0.0011745
1691509832857243565,2617,1732,823,0.661827,10.3453,25.2413,66.1003,90.7624,176.973,-0.105297,363.341,704.109,1198.9,1542.17,1020.66,3576.94,7620.5,20093.5,1762.35,1676.33,2144.69,656.266,729.848,444.588,95206.4,5593.57,9079.86,6.93676,2.90779,0,0,0.058752,0,106.112,118.567,241.861,1310.93,2463.08,4839.3,0,0,2,1,9,0.9,1,3.34052,3.34052,1.23869,0.00463783,0.027339,1732,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0155889,6.20553,16.4041,10.5925,66.5898,83.5236,661.973,676.503,1,0.830708,0.499005,0.246817,0.997817,3.78689,0.139819,0.724138,0.84,717.937,951.143,1736.08,2881.13,112.616,526.531,1627.9,805.409,2554.12,309.557,380.756,0.0249177,0.173433,1.49907,0.62691,0,0,0,0,0,0.0103172,24.7444,91.9595,1,0.957771,325.767,742.534,363.415,1201.57,475.688,1216.98,1037.79,3611.03,0.00162769
1691509832957094154,2614,1764,797,0.674828,11.5848,27.6883,65.9576,95.2771,243.977,0.159868,392.342,742.905,1207.45,1561.86,1111.3,3781.33,8404.69,26950.5,1886.09,1640.89,2472.69,670.563,777.814,441.585,99198.2,6385.05,10657.2,2.06889,16.7749,0,0,0.0643666,0,142.889,210.757,307.606,1672.17,2902.86,5420.94,0,0,4,4,8,0.666667,1,4.05626,4.05626,1.35887,0.00956596,0.0442664,1764,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015873,7.24796,19.2076,11.6667,66.3253,86.2575,670.725,683.018,1,0.829916,0.464635,0.308793,0.997489,4.06158,0.132213,0.801802,0.89,788.43,1077.86,1854.59,2969.2,143.734,587.176,1595.02,894.499,2551.33,341.547,549.291,0.363191,-0.0482047,-1.2864,-1.13149,0,0,0,0,0,0.0107116,28.0745,95.8179,1,0.950461,224.542,774.227,392.79,1210.71,325.395,1252.31,1130.36,3795.83,0.0013337
1691509833057097669,2629,1845,759,0.701788,11.7262,27.6171,54.5501,84.5018,196.047,0.513279,418.161,745.098,1190.68,1517.66,1213.98,3809.47,8387.82,64527,1894.58,1585.59,2618.57,654.686,857.765,317.205,110960,10359.4,14839.9,4.33964,9.79885,0,0,0.0933623,0,100.688,144.017,221.628,1352.09,3299.08,9722.45,0,0,2,1,11,0.916667,1,2.76754,2.76754,1.1887,0.0021632,0.0460787,1845,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0151762,6.37258,12.2155,11.9809,54.911,94.1866,664.183,698.63,1,-0.836919,-0.542678,-0.0711814,0.9687,14.373,0.487605,0.724138,0.84,777.165,1089.24,1884.06,2540.36,150.614,561.546,1769.04,911.699,2754.74,520.202,532.398,0.501285,-0.450949,-0.393398,-0.572207,0,0,0,0,0,0.0106504,13.423,84.9745,1,0.963126,261.921,721.555,419.875,1197.52,411.159,1189.89,1230.71,3869.04,0.00100235
1691509833157069399,2561,1963,579,0.766497,11.9039,27.4114,54.26,77.1902,235.036,0.925449,407.706,739.037,1194.34,1489.33,1212.77,3851.21,7859.51,12182.1,1793.15,1556.87,2692.61,668.309,838.221,288.832,117914,7124.24,11110.7,3.97041,11.3625,0,0,0.0604188,0,97.817,113.522,181.255,1583.3,2768.77,6366.05,0,0,2,1,9,0.9,1,3.21289,3.21289,1.19323,0.00452026,0.0688131,1963,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0147733,8.05342,17.0738,12.0658,54.9338,93.7707,662.256,701.974,1,0.837084,0.543982,0.0580925,0.999913,0.753714,0.0297203,0.834862,0.91,823.849,1102.71,1927.31,2533.24,157.715,578.891,1871.78,935.275,2811.74,338.832,506.143,-0.739279,-0.0897118,-0.0898145,1.10229,0,0,0,0,0,0.0113237,20.753,78.1809,1,0.971044,235.153,785.045,408.633,1200.97,385.977,1239.16,1227.49,3872.77,0.0014517
1691509833256792964,2588,2072,508,0.800618,11.6408,26.9001,50.1639,76.5711,184.307,1.66757,395.285,715.335,1153.89,1457.78,1222.13,3731.23,7711.98,13748.1,1763.57,1513.05,2566.93,631.886,842.203,260.866,116850,7359.76,11575.4,0.738506,21.8616,0,0,0.0629845,0,103.3,110.874,191.813,1695.29,2954.78,6519.32,0,0,3,3,8,0.727273,1,2.74815,2.74815,1.14052,0.0020651,0.0410666,2072,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0130309,7.61306,18.0574,11.7764,50.7386,91.9747,671.701,705.325,1,0.83715,0.543399,0.0624261,0.99999,0.250563,0.0208313,0.923077,0.96,870.835,1119.56,1939.18,2338.2,166.459,591.481,1896.77,941.721,2731.03,331.339,535.113,-0.0188712,0.0177192,-1.44087,4.27629,0,0,0,0,0,0.0104328,20.5226,77.4111,1,0.974572,204.474,757.582,396.522,1157.08,310.384,1216.41,1243.09,3745.35,0.00108402
