stamp,candidates,valid_matches,immature_matches,match_ratio,r_abs_p50,r_abs_p75,r_abs_p90,r_abs_p95,r_abs_max,r_signed_median,grad_p50,grad_p75,grad_p90,grad_p95,J_norm_p50,J_norm_p90,J_norm_p99,J_norm_max,Jdof_p90_rx,Jdof_p90_ry,Jdof_p90_rz,Jdof_p90_tx,Jdof_p90_ty,Jdof_p90_tz,H_geo_fro,H_photo_fro,H_photo_trace,b_geo_norm,b_photo_norm,R_H_unscaled,R_b_unscaled,R_H_scaled,lambda_ref,eig1,eig2,eig3,eig4,eig5,eig6,photo_step_t_mm,photo_step_r_deg,lm_iterations,lm_accepted,lm_rejected,reject_rate,lm_initial_cost,lm_final_cost,geo_cost,photo_cost,pose_delta_t_m,pose_delta_r_deg,photo_effective_residuals,fd_samples,fd_median_rel_err,fd_p95_rel_err,fd_done,photometric_scale,fd_level_a_samples,fd_level_a_median,fd_level_a_p95,fd_level_a_sign,fd_level_b_points,fd_level_b_scalars,fd_level_b_median,fd_level_b_p95,fd_level_b_sign,fd_b_rx_med,fd_b_rx_p95,fd_b_ry_med,fd_b_ry_p95,fd_b_rz_med,fd_b_rz_p95,fd_b_tx_med,fd_b_tx_p95,fd_b_ty_med,fd_b_ty_p95,fd_b_tz_med,fd_b_tz_p95,fd_b_analytic_p50,fd_b_analytic_p90,fd_b_analytic_p99,fd_b_numeric_p50,fd_b_numeric_p90,fd_b_numeric_p99,fd_c_voxel_switch,fd_c_cell_switch,fd_c_validity_switch,fd_c_noswitch_samples,fd_c_noswitch_median,fd_c_noswitch_p95,photo_near_fraction,photo_near_r_p50,photo_near_r_p90,photo_far_r_p50,photo_far_r_p90,geo_lambda1,geo_lambda2,geo_lambda3,geo_two_weak_flag,eta_world_x,eta_world_y,eta_world_z,eta_abs_dot_prev,eta_angle_prev_deg,weak_subspace_diff_F,selected_voxel_jaccard,selected_voxel_retention,selected_score_p10,selected_score_p50,selected_score_p90,selected_score_max,candidate_score_p50,candidate_score_p90,candidate_score_p99,q_geo_v1,q_geo_v2,q_photo_v1,q_photo_v2,s_geo_v1,s_geo_v2,s_photo_v1,s_photo_v2,parity_count_serial,parity_count_parallel,parity_cost_rel,parity_H_rel,parity_b_rel,source_near_fraction,photo_near_r_p95,photo_far_r_p95,photo_near_inlier_fraction,photo_far_inlier_fraction,photo_near_grad_p50,photo_near_grad_p90,photo_far_grad_p50,photo_far_grad_p90,photo_near_J_p50,photo_near_J_p90,photo_far_J_p50,photo_far_J_p90,photo_near_H_fraction
1691509832356948442,2999,1532,1437,0.510837,6.29871,11.2534,20.6544,32.9947,208.039,-0.46609,196.556,346.503,631.416,919.186,401.265,1537.69,5078,28341.7,778.999,691.327,817.207,372.309,385.123,189.827,88071.8,1692.45,2754.84,0.00352891,2.67277,0,0,0.0192168,0,41.6258,57.3378,95.0533,452.044,594.75,1514.03,0,0,5,5,6,0.545455,1,2.55911,2.55911,0.275019,0.00534905,0.126813,1532,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.150131,4.61756,11.7216,6.53265,22.0072,82.5091,530.336,630.155,1,0.822912,0.568104,-0.00857707,1,0,0,0,0,366.006,466.497,1003.3,2200.27,26.7358,304.313,938.349,840.044,2669.03,142.588,247.542,3.71748e-05,-0.000771618,-1.18906,-0.405296,0,0,0,0,0,0.0766922,14.7341,38.1781,1,0.99232,143.977,312.37,212.584,663.547,202.02,456.918,476.547,1731.22,0.00874742
1691509832456941785,2928,1965,908,0.671107,6.99962,13.6589,26.8993,51.9235,223.686,-0.467143,238.321,434.084,793.164,1149.6,607.443,2210.69,5835.56,12994,1076.93,972.812,1280,436.595,478.482,224.432,113532,2514.85,4136.17,17.5016,5.63574,0,0,0.0221511,0,60.2718,82.1077,115.115,523.28,1231.79,2123.6,0,0,2,1,11,0.916667,1,2.12624,2.12624,0.740705,0.000196265,0.0380736,1965,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0330789,5.64964,16.3862,7.03526,27.28,84.2629,616.36,676.377,1,0.833784,0.551386,0.0278848,0.999136,2.38134,0.0641973,0.6,0.75,438.93,587.301,1181.46,2174.19,41.1819,342.663,1038.36,864.582,2824.14,197.141,238.439,-3.65859,-0.579279,1.79819,-0.124328,0,0,0,0,0,0.0221995,22.3545,53.3897,1,0.976842,159.731,574.819,241.224,801.302,220.734,926.125,623.732,2284.03,0.00353405
1691509832556922176,2831,1970,794,0.695867,7.40565,15.2482,35.4898,66.3682,198.156,-0.286648,275.581,549.536,1082.1,1500.17,741.048,3070.14,7277.68,16416.9,1441.59,1346.41,1705.65,582.812,636.092,357.972,101682,4494.14,7542.35,0.593043,4.36361,0,0,0.044198,0,92.1709,135.255,243.135,974.675,2512.82,3584.3,0,0,4,3,9,0.75,1,2.46247,2.46247,0.89621,0.00776642,0.0917721,1970,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0319797,5.76027,13.9852,7.5076,36.3851,90.1444,648.18,672.675,1,0.837205,0.525652,0.150924,0.992094,7.2096,0.250731,0.694915,0.82,540.837,680.7,1581.39,2696.07,57.4673,392.174,1243.82,840.08,2512.81,332.1,324.628,0.0598373,-0.0901382,1.76009,1.7034,0,0,0,0,0,0.0222536,20.6421,68.7105,1,0.969586,158.699,674.81,278.429,1112.54,227.882,1079.14,768.121,3130.52,0.00264972
1691509832657014955,2704,1986,661,0.734467,7.45563,17.2697,35.1541,65.4552,176.118,-0.0907922,291.708,566.304,1068.6,1495.47,798.695,3274.72,7826.92,16604.5,1413.29,1389.48,1998.41,550.502,637.75,331.757,119229,5636.38,8810.95,0.456731,5.55057,0,0,0.0472735,0,78.4981,125.381,207.006,936.48,2512.26,4951.32,0,0,4,4,8,0.666667,1,2.98727,2.98727,0.865977,0.00234517,0.0652323,1986,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0181269,5.93372,16.7655,7.5692,35.5763,90.3651,657.185,696.449,1,-0.83819,-0.534184,-0.109933,0.999123,2.39977,0.0819748,0.769912,0.87,570.225,706.018,1657.82,3010.22,75.2278,418.846,1338.71,846.112,2634.94,325.234,405.917,0.0435228,0.0125074,-1.45034,0.62895,0,0,0,0,0,0.0133136,27.6598,65.9662,1,0.970256,174.948,651.446,293.835,1080.43,253.701,1009.98,808.13,3308.32,0.00138439
1691509832757141503,2680,1908,742,0.71194,7.92497,17.8007,44.4776,71.0959,199.692,-0.38515,328.403,641.227,1080.91,1442.97,948.087,3292.6,7036.44,19963.4,1596.15,1403.42,2150.78,577.397,734.797,373.993,117856,5500.9,8640.91,16.0276,5.48531,0,0,0.0466748,0,89.756,117.676,203.882,1043.06,2311.59,4874.94,0,0,1,0,9,1,1,2.94088,2.94088,0.955102,0,0,1908,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0141509,8.48833,20.664,7.91885,45.7136,87.8117,677.014,697.174,1,0.835734,0.510252,0.202957,0.995384,5.50732,0.198815,0.724138,0.84,668.684,868.417,1602.7,2816.69,92.5231,483.871,1461.23,842.96,2674.26,266.63,399.502,-4.35715,0.476898,1.08009,1.04157,0,0,0,0,0,0.0100746,29.7438,71.3296,1,0.969165,170.217,708.011,328.756,1093.13,270.39,1084.46,957.018,3320.7,0.00121066
1691509832857243565,2656,1767,831,0.665286,9.85022,23.4998,61.7856,89.7577,176.973,0.0598573,363.838,703.058,1167.09,1477.43,1019.08,3547.8,7273.36,11567.8,1668.4,1660.84,2290.42,642.282,741.748,422.51,95206.4,5121.5,8385.45,6.93676,4.24237,0,0,0.0537937,0,96.6633,113.982,207.915,1146.12,2518.99,4301.78,0,0,2,1,9,0.9,1,3.34052,3.34052,1.18853,0.00463783,0.027339,1767,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0152801,6.20553,16.4041,10.0571,62.1456,83.4623,660.316,676.222,1,0.831597,0.510694,0.218262,0.999874,0.908779,0.038011,0.754386,0.86,712.139,937.477,1720.99,2818.6,112.804,526.445,1635.01,805.332,2578.06,290.543,368.453,0.0250342,0.219264,1.10159,0.908009,0,0,0,0,0,0.0101657,24.7444,90.5066,1,0.95977,325.767,742.534,364.292,1175.2,475.688,1216.98,1031.96,3568.8,0.00176248
1691509832957094154,2667,1739,876,0.652043,11.5305,26.4319,61.9495,91.1103,243.977,0.469819,385.924,724.799,1186.66,1553.89,1132.8,3769.37,8406.7,26950.5,1895.93,1822.84,2314.49,647.857,739.327,524.254,99198.2,6178.98,10540.1,2.06889,15.4118,0,0,0.0622892,0,156.587,210.445,309.681,1855.91,2883.29,5124.19,0,0,4,4,8,0.666667,1,4.05626,4.05626,1.22689,0.00956596,0.0442664,1739,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0161012,7.24796,19.2076,11.6437,63.7847,86.1579,669.703,680.139,1,0.822273,0.408782,0.395934,0.97898,11.7684,0.395944,0.694915,0.82,772.729,1050.21,1628.33,3145.23,142.825,595.201,1563.36,894.645,2500.43,320.793,476.616,0.363184,-0.0550464,-0.750373,-1.10035,0,0,0,0,0,0.0104987,28.0745,91.9416,1,0.956166,224.542,774.227,385.978,1188.04,325.395,1252.31,1142.79,3795.53,0.00134853
1691509833057097669,2629,1845,759,0.701788,11.7262,27.6171,54.5501,84.5018,196.047,0.513279,418.161,745.098,1190.68,1517.66,1213.98,3809.47,8387.82,64527,1894.58,1585.59,2618.57,654.686,857.765,317.205,110960,10359.4,14839.9,4.33964,9.79885,0,0,0.0933623,0,100.688,144.017,221.628,1352.09,3299.08,9722.45,0,0,2,1,11,0.916667,1,2.76754,2.76754,1.1887,0.0021632,0.0460787,1845,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0151762,6.37258,12.2155,11.9809,54.911,93.528,661.92,694.552,1,-0.837864,-0.541335,-0.0702848,0.93807,20.2701,0.678458,0.639344,0.78,776.576,1089.05,1883.85,2538.98,150.25,567.059,1770.47,912.761,2754.97,520,532.723,0.501671,-0.44912,-0.392439,-0.572797,0,0,0,0,0,0.0106504,13.423,84.9745,1,0.963126,261.921,721.555,419.875,1197.52,411.159,1189.89,1230.71,3869.04,0.00100235
1691509833157069399,2561,1963,579,0.766497,11.9039,27.4114,54.26,77.1902,235.036,0.925449,407.706,739.037,1194.34,1489.33,1212.77,3851.21,7859.51,12182.1,1793.15,1556.87,2692.61,668.309,838.221,288.832,117914,7124.24,11110.7,3.97041,11.3625,0,0,0.0604188,0,97.817,113.522,181.255,1583.3,2768.77,6366.05,0,0,2,1,9,0.9,1,3.21289,3.21289,1.19323,0.00452026,0.0688131,1963,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0147733,8.05342,17.0738,12.0658,54.9338,93.7585,661.259,700.983,1,0.837179,0.543816,0.0582712,0.999925,0.703948,0.0267924,0.834862,0.91,823.9,1102.58,1927.13,2532.97,157.707,578.888,1872.36,935.259,2811.47,338.839,506.126,-0.739368,-0.0894145,-0.0899484,1.10207,0,0,0,0,0,0.0113237,20.753,78.1809,1,0.971044,235.153,785.045,408.633,1200.97,385.977,1239.16,1227.49,3872.77,0.0014517
1691509833256792964,2588,2072,508,0.800618,11.6408,26.9001,50.1639,76.5711,184.307,1.66757,395.285,715.335,1153.89,1457.78,1222.13,3731.23,7711.98,13748.1,1763.57,1513.05,2566.93,631.886,842.203,260.866,116850,7359.76,11575.4,0.738506,21.8616,0,0,0.0629845,0,103.3,110.874,191.813,1695.29,2954.78,6519.32,0,0,3,3,8,0.727273,1,2.74815,2.74815,1.14052,0.0020651,0.0410666,2072,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0130309,7.61306,18.0574,11.7764,50.7386,91.0125,671.663,705.324,1,0.836975,0.543651,0.0625915,0.999991,0.247996,0.0204459,0.923077,0.96,870.739,1119.59,1939.21,2338.49,165.924,588.365,1896.65,941.635,2731.07,331.322,535.12,-0.0188714,0.0177038,-1.43953,4.27658,0,0,0,0,0,0.0104328,20.5226,77.4111,1,0.974572,204.474,757.582,396.522,1157.08,310.384,1216.41,1243.09,3745.35,0.00108402
